Unnamed: 0,CAR,GNB
First Downs,23,22
Rush-Yds-TDs,25-108-0,30-122-2
Cmp-Att-Yd-TD-INT,22-39-248-2-1,19-24-255-3-0
Sacked-Yards,3-25,2-14
Net Pass Yards,223,241
Total Yards,331,363
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,9-70,5-29
Third Down Conv.,4-12,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:11,29:49
