Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Neil Rackers kicks off 63 yards, returned by Travis Jervey for 21 yards (tackle by Brandon Bennett)",0.000,0.810
1,14:55,1,10,ATL 28,0,0,"T.J. Duckett middle for 3 yards (tackle by Vaughn Booker). Penalty on Oliver Gibson: Taunting, 15 yards",0.810,1.990
1,14:19,1,10,ATL 46,0,0,Michael Vick pass complete to Warrick Dunn for 3 yards (tackle by Vaughn Booker),1.990,1.860
1,13:36,2,7,ATL 49,0,0,Michael Vick pass complete to Willie Jackson for 19 yards (tackle by Adrian Ross),1.860,3.450
1,12:46,1,10,CIN 32,0,0,"T.J. Duckett left tackle for 2 yards (tackle by Brian Simmons). Penalty on Tony Williams: Defensive Offside, 5 yards (no play)",3.450,4.180
1,12:18,1,5,CIN 27,0,0,Warrick Dunn left end for 2 yards (tackle by Adrian Ross),4.180,3.850
1,11:34,2,3,CIN 25,0,0,T.J. Duckett right tackle for 2 yards (tackle by Adrian Ross),3.850,3.400
1,10:45,3,1,CIN 23,0,0,T.J. Duckett left tackle for -3 yards (tackle by Tony Williams),3.400,1.810
1,10:41,4,4,CIN 26,0,3,Jay Feely 44 yard field goal good,1.810,3.000
1,10:41,,,ATL 30,0,3,"Jay Feely kicks off 65 yards, returned by Brandon Bennett for 18 yards (tackle by Artie Ulmer). Penalty on Brock Gutierrez: Offensive Holding, 10 yards",0.000,-0.320
1,9:55,1,10,CIN 13,0,3,Corey Dillon left end for -3 yards (tackle by Brady Smith),-0.320,-1.000
1,9:21,2,13,CIN 10,0,3,Gus Frerotte pass incomplete intended for T.J. Houshmandzadeh (defended by Juran Bolden),-1.000,-1.770
1,9:16,3,13,CIN 10,0,3,"Penalty on Mike Goff: False Start, 5 yards (no play)",-1.770,-2.360
1,9:16,3,18,CIN 5,0,3,"Penalty on Richmond Webb: False Start, 2 yards (no play)",-2.360,-2.590
1,9:16,3,20,CIN 3,0,3,Gus Frerotte pass incomplete intended for Peter Warrick is intercepted by Kevin Mathis at CIN-23 and returned for 8 yards,-2.590,-4.580
1,9:07,1,10,CIN 15,0,3,T.J. Duckett middle for -1 yards (tackle by Takeo Spikes),4.580,3.810
1,8:22,2,11,CIN 16,0,3,Michael Vick pass complete to Reggie Kelly for 1 yard (tackle by Adrian Ross and Artrell Hawkins),3.810,3.100
1,7:37,3,10,CIN 15,0,3,Michael Vick pass complete to Bob Christian for 7 yards (tackle by Brian Simmons),3.100,2.980
1,7:30,4,3,CIN 8,0,6,Jay Feely 26 yard field goal good,2.980,3.000
1,7:30,,,ATL 30,0,6,"Jay Feely kicks off 74 yards, returned by Brandon Bennett for 22 yards (tackle by Artie Ulmer)",0.000,0.040
1,7:14,1,10,CIN 18,0,6,Corey Dillon right tackle for 1 yard (tackle by Matt Stewart),0.040,-0.320
1,6:34,2,9,CIN 19,0,6,Corey Dillon middle for 4 yards (tackle by Keith Brooking),-0.320,-0.530
1,5:49,3,5,CIN 23,0,6,Gus Frerotte pass incomplete intended for Ron Dugans,-0.530,-1.830
1,5:41,4,5,CIN 23,0,6,"Nick Harris punts 51 yards, returned by Damon Gibson for 19 yards (tackle by Ligarius Jennings)",-1.830,-1.930
1,5:25,1,10,ATL 45,0,6,Michael Vick pass complete to Brian Finneran for 15 yards (tackle by Brian Simmons),1.930,2.920
1,4:36,1,10,CIN 40,0,6,Warrick Dunn middle for 4 yards (tackle by Takeo Spikes),2.920,2.910
1,3:49,2,6,CIN 36,0,6,Michael Vick pass incomplete intended for Willie Jackson,2.910,2.210
1,3:43,3,6,CIN 36,0,6,Michael Vick for 7 yards (tackle by Artrell Hawkins),2.210,3.640
1,3:14,1,10,CIN 29,0,6,"Penalty on Travis Claridge: False Start, 5 yards (no play)",3.640,3.310
1,2:55,1,15,CIN 34,0,6,Michael Vick pass incomplete intended for Bob Christian,3.310,2.420
1,2:50,2,15,CIN 34,0,6,Michael Vick right end for 14 yards (tackle by JoJuan Armour),2.420,3.600
1,2:02,3,1,CIN 20,0,12,"Michael Vick pass complete to Brian Finneran for 20 yards, touchdown",3.600,7.000
1,2:02,,,CIN 20,0,13,Jay Feely kicks extra point good,0.000,0.000
1,2:02,,,ATL 30,0,13,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
1,1:57,1,10,CIN 20,0,13,Gus Frerotte pass incomplete intended for Michael Westbrook,0.280,-0.270
1,1:53,2,10,CIN 20,0,13,Corey Dillon left tackle for 2 yards (tackle by Keith Brooking),-0.270,-0.690
1,1:15,3,8,CIN 22,0,13,Gus Frerotte pass incomplete intended for Peter Warrick,-0.690,-1.900
1,1:09,4,8,CIN 22,0,13,"Nick Harris punts 51 yards, returned by Damon Gibson for 6 yards (tackle by Canute Curtis)",-1.900,-1.140
1,0:56,1,10,ATL 33,0,13,T.J. Duckett left tackle for 2 yards (tackle by Bernard Whittington),1.140,0.860
1,0:14,2,8,ATL 35,0,13,Warrick Dunn middle for 5 yards (tackle by Canute Curtis),0.860,0.830
Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,ATL 40,0,13,Michael Vick pass complete to Brian Finneran for 10 yards (tackle by Artrell Hawkins),0.830,2.260
2,14:38,1,10,,0,13,"Penalty on Brian Finneran: False Start, 5 yards (no play)",2.260,1.930
2,14:13,1,15,ATL 45,0,13,Warrick Dunn left end for -1 yards (tackle by Justin Smith),1.930,0.900
2,13:32,2,16,ATL 44,0,13,Michael Vick pass incomplete intended for Shawn Jefferson (defended by Kevin Kaesviharn),0.900,0.230
2,13:27,3,16,ATL 44,0,13,Michael Vick pass complete to Bob Christian for 5 yards (tackle by Brian Simmons),0.230,-0.130
2,12:49,4,11,ATL 49,0,13,"Chris Mohr punts 51 yards, touchback",-0.130,-0.280
2,12:37,1,10,CIN 20,0,13,Corey Dillon for 9 yards (tackle by Keith Brooking),0.280,0.950
2,12:11,2,1,CIN 29,0,13,Gus Frerotte pass incomplete intended for T.J. Houshmandzadeh,0.950,0.230
2,12:05,3,1,CIN 29,0,13,Corey Dillon middle for 2 yards (tackle by Keith Brooking),0.230,1.000
