Quarter,Time,Tm,Detail,CIN,ATL
1.0,10:01,Falcons,Jay Feely 44 yard field goal,0,3
,7:19,Falcons,Jay Feely 26 yard field goal,0,6
,1:57,Falcons,Brian Finneran 20 yard pass from Michael Vick (Jay Feely kick),0,13
2.0,4:56,Falcons,Brian Finneran 13 yard pass from Michael Vick (Jay Feely kick),0,20
,0:03,Bengals,Neil Rackers 24 yard field goal,3,20
3.0,5:07,Falcons,Warrick Dunn 4 yard rush (Jay Feely kick),3,27
4.0,7:30,Falcons,Jay Feely 34 yard field goal,3,30
