Unnamed: 0,CIN,CLE
First Downs,21,13
Rush-Yds-TDs,38-213-1,22-169-1
Cmp-Att-Yd-TD-INT,20-28-180-2-0,12-28-104-0-1
Sacked-Yards,4-33,3-19
Net Pass Yards,147,85
Total Yards,360,254
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-43,5-34
Third Down Conv.,8-15,6-14
Fourth Down Conv.,0-0,1-1
Time of Possession,34:53,25:07
