Quarter,Time,Tm,Detail,CIN,CLE
1.0,12:21,Bengals,Tyler Eifert 14 yard pass from Andy Dalton (Mike Nugent kick),7,0
,6:27,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick failed),13,0
2.0,5:06,Bengals,Tyler Eifert 5 yard pass from Andy Dalton (Mike Nugent kick),20,0
3.0,8:11,Browns,Robert Griffin III 1 yard rush (Cody Parkey kick),20,7
4.0,14:14,Browns,Cody Parkey 30 yard field goal,20,10
,8:38,Bengals,Mike Nugent 44 yard field goal,23,10
