Quarter,Time,Tm,Detail,GNB,SFO
1.0,12:48,Packers,Sam Shields 52 yard interception return (Mason Crosby kick),7,0
,9:01,49ers,Colin Kaepernick 20 yard rush (David Akers kick),7,7
,0:29,Packers,DuJuan Harris 18 yard rush (Mason Crosby kick),14,7
2.0,10:59,49ers,Michael Crabtree 12 yard pass from Colin Kaepernick (David Akers kick),14,14
,5:26,49ers,Michael Crabtree 20 yard pass from Colin Kaepernick (David Akers kick),14,21
,2:33,Packers,James Jones 20 yard pass from Aaron Rodgers (Mason Crosby kick),21,21
,0:00,49ers,David Akers 36 yard field goal,21,24
3.0,8:25,Packers,Mason Crosby 31 yard field goal,24,24
,7:07,49ers,Colin Kaepernick 56 yard rush (David Akers kick),24,31
4.0,14:57,49ers,Frank Gore 2 yard rush (David Akers kick),24,38
,3:34,49ers,Anthony Dixon 2 yard rush (David Akers kick),24,45
,0:57,Packers,Greg Jennings 3 yard pass from Aaron Rodgers (Mason Crosby kick),31,45
