Unnamed: 0,GNB,SFO
First Downs,20,29
Rush-Yds-TDs,16-104-1,43-323-4
Cmp-Att-Yd-TD-INT,26-39-257-2-1,17-31-263-2-1
Sacked-Yards,1-9,1-7
Net Pass Yards,248,256
Total Yards,352,579
Fumbles-Lost,3-1,1-0
Turnovers,2,1
Penalties-Yards,5-26,8-86
Third Down Conv.,5-12,8-13
Fourth Down Conv.,1-1,0-0
Time of Possession,21:59,38:01
