Unnamed: 0,MIN,CHI
First Downs,22,15
Rush-Yds-TDs,38-178-0,23-87-1
Cmp-Att-Yd-TD-INT,24-34-222-1-1,13-30-157-0-0
Sacked-Yards,2-7,1-12
Net Pass Yards,215,145
Total Yards,393,232
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,7-68,3-30
Third Down Conv.,8-16,6-14
Fourth Down Conv.,1-3,0-0
Time of Possession,37:15,22:45
