Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Aaron Elling kicks off 52 yards, returned by Rabih Abdullah for 14 yards (tackle by Rushen Jones)",0.000,1.070
1,14:55,1,10,CHI 32,0,0,"Rex Grossman pass incomplete intended for Justin Gage. Penalty on Ken Irvin: Defensive Pass Interference, 33 yards (no play)",1.070,3.250
1,14:48,1,10,MIN 35,0,0,Anthony Thomas left guard for 4 yards (tackle by Brian Russell),3.250,3.240
1,14:16,2,6,MIN 31,0,0,Anthony Thomas left end for 6 yards (tackle by Corey Chavous),3.240,3.910
1,13:45,1,10,MIN 25,0,0,Rex Grossman pass incomplete intended for Dez White,3.910,3.360
1,13:42,2,10,MIN 25,0,0,"Anthony Thomas right tackle for 1 yard (tackle by Kevin Williams and Lance Johnstone). Penalty on Mike Nattiel: Defensive Offside, 5 yards (no play)",3.360,4.040
1,13:24,2,5,MIN 20,0,0,Rex Grossman pass incomplete intended for Marty Booker (defended by Lance Johnstone),4.040,3.340
1,13:21,3,5,MIN 20,0,0,Rex Grossman pass incomplete intended for Marty Booker,3.340,2.170
1,13:14,4,5,MIN 20,0,3,Paul Edinger 38 yard field goal good,2.170,3.000
1,,,,CHI 30,0,3,"Paul Edinger kicks off 54 yards, returned by Onterrio Smith for 20 yards (tackle by Joe Tafoya)",0.000,1.330
1,13:03,1,10,MIN 36,0,3,Onterrio Smith left tackle for 2 yards (tackle by Alex Brown),1.330,1.060
1,12:28,2,8,MIN 38,0,3,Onterrio Smith right end for 19 yards (tackle by Lance Briggs),1.060,2.720
1,11:55,1,10,CHI 43,0,3,Onterrio Smith left tackle for 10 yards (tackle by Mike Brown),2.720,3.380
1,11:21,1,10,CHI 33,0,3,Randy Moss right end for 8 yards (tackle by Jerry Azumah),3.380,3.920
1,11:04,2,2,CHI 25,0,3,Daunte Culpepper sacked by Alex Brown for -2 yards,3.920,2.940
1,10:25,3,4,CHI 27,0,3,Moe Williams right tackle for -1 yards (tackle by Lance Briggs),2.940,1.630
1,9:36,4,5,CHI 28,0,3,Daunte Culpepper sacked by Alex Brown for -5 yards,1.630,-1.140
1,9:32,1,10,CHI 33,0,3,Anthony Thomas right guard for 6 yards (tackle by Greg Biekert and Brian Williams),1.140,1.400
1,8:58,2,4,CHI 39,0,3,Rex Grossman pass complete to Desmond Clark for 11 yards (tackle by Brian Williams),1.400,2.260
1,8:23,1,10,CHI 50,0,3,Anthony Thomas right guard for 9 yards (tackle by Brian Russell),2.260,2.930
1,7:50,2,1,MIN 41,0,3,Anthony Thomas left end for -3 yards (tackle by Henri Crockett),2.930,1.820
1,7:11,3,4,MIN 44,0,3,Rex Grossman pass incomplete intended for Dez White,1.820,0.330
1,7:06,4,4,MIN 44,0,3,"Brad Maynard punts 33 yards, fair catch by Keenan Howry",0.330,0.370
1,6:58,1,10,MIN 11,0,3,Onterrio Smith right end for 11 yards (tackle by Bobby Gray),-0.370,0.410
1,6:15,1,10,MIN 22,0,3,Onterrio Smith left end for 3 yards (tackle by Bryan Robinson),0.410,0.270
1,5:38,2,7,MIN 25,0,3,Onterrio Smith right guard for 6 yards (tackle by Phillip Daniels and Warrick Holdman),0.270,0.370
1,5:04,3,1,MIN 31,0,3,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Jerry Azumah),0.370,1.140
1,4:25,1,10,MIN 33,0,3,Onterrio Smith left end for 5 yards (tackle by Mike Brown),1.140,1.270
1,3:48,2,5,MIN 38,0,3,Onterrio Smith right end for 4 yards (tackle by Phillip Daniels),1.270,1.090
1,3:11,3,1,MIN 42,0,3,Onterrio Smith right guard for 2 yards (tackle by Warrick Holdman),1.090,1.860
1,2:47,1,10,MIN 44,0,3,Onterrio Smith left tackle for 1 yard (tackle by Mike Brown),1.860,1.450
1,2:13,2,9,MIN 45,0,3,Onterrio Smith left guard for 3 yards (tackle by Phillip Daniels),1.450,1.160
1,1:32,3,6,MIN 48,0,3,Daunte Culpepper pass complete to Jim Kleinsasser for 4 yards (tackle by Alex Brown),1.160,0.070
1,0:49,4,2,CHI 48,0,3,Eddie Johnson punts 23 yards,0.070,-0.610
1,0:42,1,10,CHI 25,0,3,Rex Grossman pass complete to Marty Booker for 39 yards (tackle by Brian Williams),0.610,3.180
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
1,0:31,1,10,MIN 36,0,3,Anthony Thomas right end for no gain (tackle by Greg Biekert),3.180,2.640
Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,MIN 36,0,3,Rex Grossman pass complete to David Terrell for 13 yards (tackle by Mike Nattiel),2.640,4.040
2,14:29,1,10,MIN 23,0,3,"Rex Grossman for no gain. Rex Grossman fumbles, recovered by Rex Grossman at MIN-24",4.040,3.360
2,13:55,2,11,MIN 24,0,3,Rex Grossman pass complete to Anthony Thomas for 9 yards (tackle by Henri Crockett),3.360,4.050
2,13:13,3,2,MIN 15,0,3,Rabih Abdullah right tackle for 3 yards (tackle by Kevin Williams),4.050,4.780
2,12:31,1,10,MIN 12,0,3,Rex Grossman pass incomplete intended for Desmond Clark,4.780,4.100
2,12:28,2,10,MIN 12,0,3,Anthony Thomas right end for no gain (tackle by Fred Robbins),4.100,3.120
2,11:44,3,10,MIN 12,0,3,Rex Grossman pass complete to Desmond Clark for 11 yards (tackle by Mike Nattiel),3.120,6.970
2,11:02,1,1,MIN 1,0,3,Rex Grossman pass incomplete intended for John Gilmore. Penalty on Brian Russell: Defensive Holding (no play),6.970,6.970
2,10:58,1,1,MIN 1,0,9,"Anthony Thomas left tackle for 1 yard, touchdown",6.970,7.000
2,,,,MIN 2,0,10,Paul Edinger kicks extra point good,0.000,0.000
2,,,,CHI 30,0,10,"Paul Edinger kicks off 53 yards, returned by Onterrio Smith for 7 yards (tackle by Rabih Abdullah)",0.000,0.540
2,10:49,1,10,MIN 24,0,10,Onterrio Smith left tackle for 7 yards (tackle by Brian Urlacher),0.540,0.940
2,10:17,2,3,MIN 31,0,10,Daunte Culpepper pass incomplete intended for Onterrio Smith,0.940,0.230
2,10:09,3,3,MIN 31,0,10,Daunte Culpepper pass complete to Jim Kleinsasser for 8 yards (tackle by Charles Tillman),0.230,1.530
2,9:36,1,10,MIN 39,0,10,Onterrio Smith right tackle for 4 yards (tackle by Charles Tillman and Joe Tafoya),1.530,1.530
2,8:59,2,6,MIN 43,0,10,"Daunte Culpepper pass incomplete intended for Randy Moss. Penalty on Alfonso Boone: Defensive Offside, 5 yards (no play)",1.530,2.200
