Quarter,Time,Tm,Detail,MIN,CHI
1.0,13:10,Bears,Paul Edinger 38 yard field goal,0,3
2.0,10:53,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),0,10
,1:10,Vikings,Aaron Elling 22 yard field goal,3,10
3.0,4:09,Bears,Paul Edinger 22 yard field goal,3,13
4.0,10:23,Vikings,Randy Moss 16 yard pass from Daunte Culpepper (Aaron Elling kick),10,13
