Quarter,Time,Tm,Detail,NWE,DEN
1.0,10:51,Broncos,Clinton Portis 15 yard rush (Jason Elam kick),0,7
,5:55,Patriots,Deion Branch 66 yard pass from Tom Brady (Adam Vinatieri kick),7,7
2.0,11:29,Broncos,Jason Elam 43 yard field goal,7,10
,7:57,Patriots,Adam Vinatieri 40 yard field goal,10,10
,0:24,Broncos,Mike Anderson 1 yard pass from Danny Kanell (Micah Knorr kick),10,17
,0:01,Patriots,Adam Vinatieri 46 yard field goal,13,17
3.0,5:57,Patriots,Daniel Graham 6 yard pass from Tom Brady (Adam Vinatieri kick),20,17
,3:13,Broncos,Deltha O'Neal 57 yard punt return (Micah Knorr kick),20,24
4.0,11:08,Patriots,Adam Vinatieri 28 yard field goal,23,24
,2:49,Broncos,"Safety,",23,26
,0:30,Patriots,David Givens 18 yard pass from Tom Brady (Adam Vinatieri kick),30,26
