Quarter,Time,Tm,Detail,DAL,CHI
2.0,10:50,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),7,0
,6:13,Bears,Martellus Bennett 12 yard pass from Jay Cutler (Jay Feely kick),7,7
,0:08,Cowboys,Cole Beasley 13 yard pass from Tony Romo (Dan Bailey kick),14,7
3.0,12:32,Cowboys,Cole Beasley 24 yard pass from Tony Romo (Dan Bailey kick),21,7
,8:02,Cowboys,Gavin Escobar 6 yard pass from Tony Romo (Dan Bailey kick),28,7
,2:09,Cowboys,Joseph Randle 17 yard rush (Dan Bailey kick),35,7
4.0,14:52,Bears,Alshon Jeffery 27 yard pass from Jay Cutler (Jay Feely kick failed),35,13
,12:35,Cowboys,Dan Bailey 35 yard field goal,38,13
,7:17,Bears,Matt Forte 1 yard rush (Matt Forte run),38,21
,6:09,Bears,Jay Cutler 10 yard rush (Jay Feely kick),38,28
,3:41,Cowboys,Dan Bailey 27 yard field goal,41,28
