Unnamed: 0,DAL,CHI
First Downs,21,23
Rush-Yds-TDs,35-194-2,15-35-2
Cmp-Att-Yd-TD-INT,21-26-205-3-0,32-46-341-2-1
Sacked-Yards,1-2,0-0
Net Pass Yards,203,341
Total Yards,397,376
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,8-97,9-54
Third Down Conv.,7-14,2-10
Fourth Down Conv.,2-2,3-3
Time of Possession,32:28,27:32
