Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Jay Feely kicks off 56 yards, returned by Dwayne Harris for 21 yards (tackle by Demontre Hurst)",0.000,-0.940
1,14:54,1,10,DAL 30,0,0,DeMarco Murray left end for no gain (tackle by Jared Allen),0.940,0.390
1,14:19,2,10,DAL 30,0,0,DeMarco Murray right guard for 8 yards (tackle by Shea McClellin),0.390,0.760
1,13:41,3,2,DAL 38,0,0,Tony Romo pass complete short left to Dez Bryant for 4 yards (tackle by Kyle Fuller),0.760,1.730
1,13:05,1,10,DAL 42,0,0,Tony Romo pass complete short left to Dez Bryant for 16 yards (tackle by Kyle Fuller),1.730,2.790
1,12:24,1,10,CHI 42,0,0,Tony Romo pass complete short left to Dez Bryant for 4 yards (tackle by Jonathan Bostic),2.790,2.780
1,11:59,2,6,CHI 38,0,0,DeMarco Murray right end for 4 yards (tackle by Tim Jennings),2.780,2.610
1,11:23,3,2,CHI 34,0,0,Tony Romo sacked by Willie Young for -2 yards,2.610,0.890
1,10:48,4,4,CHI 36,0,0,Chris Jones punts 29 yards,0.890,0.380
1,10:39,1,10,CHI 7,0,0,Matt Forte left tackle for 2 yards (tackle by Brandon Carr),-0.380,-0.630
1,10:02,2,8,CHI 9,0,0,Jay Cutler pass complete short right to Martellus Bennett for 6 yards (tackle by Orlando Scandrick),-0.630,-0.480
1,9:22,3,2,CHI 15,0,0,Jay Cutler pass complete short right to Brandon Marshall for 4 yards (tackle by Sterling Moore),-0.480,0.150
1,8:44,1,10,CHI 19,0,0,Matt Forte right guard for -3 yards (tackle by Rolando McClain),0.150,-0.870
1,8:03,2,13,CHI 16,0,0,Matt Forte right end for 5 yards (tackle by Rolando McClain),-0.870,-0.810
1,7:21,3,8,CHI 21,0,0,"Jay Cutler pass incomplete deep right intended for Alshon Jeffery. Penalty on Brandon Carr: Defensive Pass Interference, 29 yards (no play)",-0.810,2.260
1,7:14,1,10,,0,0,Matt Forte left tackle for -6 yards (tackle by Orlando Scandrick),2.260,0.900
1,6:37,2,16,CHI 44,0,0,Jay Cutler pass incomplete deep left intended for Brandon Marshall,0.900,0.230
1,6:30,3,16,CHI 44,0,0,Jay Cutler pass complete short right to Martellus Bennett for 3 yards (tackle by Orlando Scandrick),0.230,-0.260
1,6:00,4,13,CHI 47,0,0,"Pat O'Donnell punts 40 yards. Penalty on Senorise Perry: Illegal Touch Kick, 5 yards",-0.260,-0.040
1,5:51,1,10,DAL 18,0,0,DeMarco Murray left tackle for 4 yards (tackle by Shea McClellin),0.040,0.140
1,5:15,2,6,DAL 22,0,0,Tony Romo pass complete short middle to DeMarco Murray for 9 yards (tackle by Ryan Mundy),0.140,1.000
1,4:50,1,10,DAL 31,0,0,DeMarco Murray left guard for 3 yards (tackle by Ryan Mundy),1.000,0.870
1,4:17,2,7,DAL 34,0,0,DeMarco Murray right guard for 3 yards (tackle by Willie Young),0.870,0.560
1,3:28,3,4,DAL 37,0,0,Tony Romo pass incomplete short middle intended for Jason Witten,0.560,-0.910
1,3:24,4,4,DAL 37,0,0,"Chris Jones punts 46 yards, returned by Marc Mariani for 4 yards (tackle by C.J. Spillman)",-0.910,-0.340
1,3:14,1,10,CHI 21,0,0,Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Anthony Hitchens),0.340,0.610
1,2:27,2,4,CHI 27,0,0,Jay Cutler pass incomplete short right intended for Josh Morgan,0.610,-0.100
1,2:25,3,4,CHI 27,0,0,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Orlando Scandrick),-0.100,-1.370
1,1:53,4,1,CHI 30,0,0,Pat O'Donnell punts 21 yards,-1.370,-2.190
1,1:43,1,10,DAL 49,0,0,DeMarco Murray right end for 6 yards (tackle by Willie Young),2.190,2.460
1,1:13,2,4,CHI 45,0,0,Tony Romo pass complete short right to DeMarco Murray for 11 yards (tackle by Shea McClellin),2.460,3.310
1,0:44,1,10,CHI 34,0,0,DeMarco Murray left guard for 8 yards (tackle by Chris Conte),3.310,3.850
1,0:15,2,2,CHI 26,0,0,DeMarco Murray right guard for 4 yards (tackle by Will Sutton),3.850,4.110
Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 22,0,0,Tony Romo pass complete short left to DeMarco Murray for 1 yard (tackle by Christian Jones),4.110,3.700
2,14:16,2,9,CHI 21,0,0,DeMarco Murray left tackle for 8 yards (tackle by Stephen Paea),3.700,4.390
2,13:32,3,1,CHI 13,0,0,DeMarco Murray left guard for no gain (tackle by Ryan Mundy),4.390,2.720
2,13:10,4,1,CHI 13,0,0,DeMarco Murray right guard for 4 yards (tackle by Jonathan Bostic),2.720,5.140
2,12:25,1,9,CHI 9,0,0,DeMarco Murray left tackle for 3 yards (tackle by Ryan Mundy),5.140,4.950
2,11:45,2,6,CHI 6,0,0,Tony Romo pass incomplete short left intended for Dez Bryant,4.950,4.040
2,11:40,3,6,CHI 6,0,0,Tony Romo pass complete short left to Cole Beasley for 5 yards (tackle by Christian Jones),4.040,3.550
2,10:53,4,1,CHI 1,6,0,"DeMarco Murray right tackle for 1 yard, touchdown",3.550,7.000
2,10:53,,,CHI 2,7,0,Dan Bailey kicks extra point good,0.000,0.000
2,10:53,,,DAL 35,7,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,10:50,1,10,CHI 20,7,0,Jay Cutler pass complete short left to Matt Forte for 5 yards (tackle by Orlando Scandrick),0.280,0.410
2,10:06,2,5,CHI 25,7,0,Jay Cutler pass complete deep right to Brandon Marshall for 42 yards (tackle by J.J. Wilcox),0.410,3.380
2,9:17,1,10,DAL 33,7,0,Matt Forte left end for 4 yards (tackle by Brandon Carr),3.380,3.380
2,8:45,2,6,DAL 29,7,0,--,3.380,2.700
2,8:21,2,11,DAL 34,7,0,Jay Cutler pass complete short right to Alshon Jeffery for 4 yards (tackle by Brandon Carr),2.700,2.540
2,7:41,3,7,DAL 30,7,0,Jay Cutler pass incomplete deep right intended for Martellus Bennett (defended by Barry Church),2.540,1.410
2,7:35,4,7,DAL 30,7,0,Jay Cutler pass complete short middle to Brandon Marshall for 15 yards (tackle by Barry Church),1.410,4.580
2,7:03,1,10,DAL 15,7,0,Matt Forte right guard for 3 yards (tackle by Josh Brent),4.580,4.450
2,6:18,2,7,DAL 12,7,6,"Jay Cutler pass complete short right to Martellus Bennett for 12 yards, touchdown",4.450,7.000
2,6:18,,,DAL 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,6:18,,,CHI 35,7,7,"Jay Feely kicks off 39 yards, returned by Kyle Wilber for 2 yards (tackle by Christian Jones)",0.000,-0.810
2,6:06,1,10,DAL 28,7,7,"Penalty on James Hanna: False Start, 5 yards (no play)",0.810,0.480
