Unnamed: 0,TAM,DET
First Downs,23,26
Rush-Yds-TDs,15-89-0,26-114-2
Cmp-Att-Yd-TD-INT,26-41-349-3-2,30-43-287-2-0
Sacked-Yards,4-30,2-10
Net Pass Yards,319,277
Total Yards,408,391
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-33,3-17
Third Down Conv.,4-12,6-14
Fourth Down Conv.,1-1,1-1
Time of Possession,28:00,32:00
