Quarter,Time,Tm,Detail,TAM,DET
1.0,8:25,Lions,Michael Badgley 23 yard field goal,0,3
,4:19,Buccaneers,Chase McLaughlin 43 yard field goal,3,3
2.0,12:33,Lions,Josh Reynolds 9 yard pass from Jared Goff (Michael Badgley kick),3,10
,0:15,Buccaneers,Cade Otton 2 yard pass from Baker Mayfield (Chase McLaughlin kick),10,10
3.0,3:48,Lions,Craig Reynolds 1 yard rush (Michael Badgley kick),10,17
,0:10,Buccaneers,Rachaad White 12 yard pass from Baker Mayfield (Chase McLaughlin kick),17,17
4.0,13:13,Lions,Jahmyr Gibbs 31 yard rush (Michael Badgley kick),17,24
,6:22,Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Michael Badgley kick),17,31
,4:37,Buccaneers,Mike Evans 16 yard pass from Baker Mayfield (pass failed),23,31
