Unnamed: 0,SEA,LAR
First Downs,25,20
Rush-Yds-TDs,22-90-0,33-171-2
Cmp-Att-Yd-TD-INT,28-39-367-3-1,14-26-178-0-2
Sacked-Yards,4-19,4-30
Net Pass Yards,348,148
Total Yards,438,319
Fumbles-Lost,1-1,1-0
Turnovers,2,2
Penalties-Yards,6-42,4-39
Third Down Conv.,5-10,4-12
Fourth Down Conv.,0-0,1-2
Time of Possession,30:53,29:07
