Unnamed: 0,DAL,STL
First Downs,17,19
Rush-Yds-TDs,27-122-0,21-93-0
Cmp-Att-Yd-TD-INT,26-36-204-1-1,25-40-279-1-2
Sacked-Yards,2-11,1-6
Net Pass Yards,193,273
Total Yards,315,366
Fumbles-Lost,2-1,2-1
Turnovers,2,3
Penalties-Yards,8-60,8-65
Third Down Conv.,5-15,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:57,28:03
