Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 68 yards, returned by Reggie Swinton for 28 yards (tackle by Kole Ayi)",0.000,0.940
1,14:55,1,10,DAL 30,0,0,Quincy Carter pass complete to Joey Galloway for 5 yards (tackle by Jamie Duncan),0.940,1.070
1,14:19,2,5,DAL 35,0,0,Emmitt Smith middle for no gain (tackle by Robert Thomas and Dre' Bly),1.070,0.370
1,13:47,3,5,DAL 35,0,0,Quincy Carter pass complete to Antonio Bryant for 34 yards (tackle by Adam Archuleta),0.370,3.510
1,13:26,1,10,STL 31,0,0,Emmitt Smith right tackle for 2 yards (tackle by Adam Archuleta and Ryan Pickett),3.510,3.240
1,12:33,2,8,STL 29,0,0,Joey Galloway right end for -7 yards (tackle by Dre' Bly),3.240,1.620
1,11:54,3,15,STL 36,0,0,Quincy Carter sacked by Leonard Little for -6 yards,1.620,0.460
1,11:26,4,21,STL 42,0,0,"Micah Knorr punts 42 yards, touchback",0.460,-0.280
1,11:17,1,10,STL 20,0,0,"Marshall Faulk middle for 15 yards (tackle by Darren Woodson). Marshall Faulk fumbles (forced by Darren Woodson), recovered by Dexter Coakley at STL-35 and returned for 1 yards (tackle by Brandon Manumaleuna)",0.280,-3.310
1,11:09,1,10,STL 34,0,0,"Quincy Carter pass complete to Joey Galloway for 5 yards (tackle by Don Davis and Dre' Bly). Joey Galloway fumbles (forced by Don Davis), recovered by Jeff Zgonina at STL-29 (tackle by Tony McGee)",3.310,-0.870
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
1,10:54,1,10,STL 29,0,0,Marshall Faulk right tackle for 8 yards (tackle by Keith Adams),0.870,1.410
1,10:17,2,2,STL 37,0,0,Marshall Faulk right guard for 1 yard (tackle by Greg Ellis),1.410,0.830
1,9:39,3,1,STL 38,0,0,"Marshall Faulk left end for no gain (tackle by Darren Woodson and Dexter Coakley). Penalty on La'Roi Glover: Defensive Holding, 5 yards",0.830,1.800
1,9:15,1,10,STL 43,0,0,Kurt Warner pass complete to Marshall Faulk for 17 yards (tackle by Kevin Hardy),1.800,2.920
1,8:52,1,10,DAL 40,0,0,Kurt Warner pass incomplete intended for Marshall Faulk is intercepted by Greg Ellis at DAL-41,2.920,-1.660
1,8:46,1,10,DAL 41,0,0,Robert Thomas middle for 3 yards (tackle by Grant Wistrom),1.660,1.530
1,8:09,2,7,DAL 44,0,0,Quincy Carter pass complete to Robert Thomas for 15 yards (tackle by Dre' Bly),1.530,2.850
1,7:33,1,10,STL 41,0,0,Quincy Carter pass incomplete intended for Antonio Bryant,2.850,2.310
1,7:27,2,10,STL 41,0,0,Emmitt Smith right guard for 1 yard (tackle by Jamie Duncan),2.310,1.750
1,6:49,3,9,STL 40,0,0,Quincy Carter pass complete to Antonio Bryant for 7 yards (tackle by Jamie Duncan),1.750,1.200
1,6:06,4,2,STL 33,0,0,"Quincy Carter pass incomplete intended for Joey Galloway. Penalty on STL: Defensive 12 On-field, 5 yards (no play)",1.200,3.710
1,6:03,1,10,STL 28,0,0,Emmitt Smith left end for 11 yards (tackle by Brian Young),3.710,4.440
1,5:27,1,10,STL 17,6,0,"Quincy Carter pass complete to Darnay Scott for 17 yards, touchdown",4.440,7.000
1,5:27,,,STL 17,7,0,Billy Cundiff kicks extra point good,0.000,0.000
1,5:27,,,DAL 30,7,0,"Micah Knorr kicks off 59 yards, returned by Terrence Wilkins for 14 yards (tackle by Louis Mackey)",0.000,0.610
1,5:15,1,10,STL 25,7,0,Marshall Faulk right tackle for 4 yards (tackle by Keith Adams),0.610,0.600
1,4:40,2,6,STL 29,7,0,Jamie Martin pass complete to Marshall Faulk for 3 yards (tackle by Derek Ross),0.600,0.300
1,3:54,3,3,STL 32,7,0,Jamie Martin pass complete to Torry Holt for 7 yards (tackle by Derek Ross),0.300,1.530
1,3:17,1,10,STL 39,7,0,Jamie Martin pass incomplete intended for Ernie Conwell,1.530,0.990
1,3:12,2,10,STL 39,7,0,Marshall Faulk left guard for 3 yards (tackle by Randal Williams),0.990,0.700
1,2:32,3,7,STL 42,7,0,Jamie Martin middle for 5 yards (tackle by Randal Williams),0.700,-0.260
1,1:45,4,2,STL 47,7,0,Mitch Berger punts 47 yards,-0.260,0.380
1,1:32,1,10,DAL 6,7,0,Emmitt Smith middle for 30 yards (tackle by Dre' Bly),-0.380,1.330
1,0:53,1,10,DAL 36,7,0,"Penalty on Javier Collins: False Start, 5 yards (no play)",1.330,1.000
1,0:25,1,15,DAL 31,7,0,Michael Wiley left tackle for no gain (tackle by Jamie Duncan),1.000,0.120
Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,DAL 31,7,0,Quincy Carter pass complete to Emmitt Smith for 8 yards (tackle by Tyoka Jackson),0.120,0.500
2,14:17,3,7,DAL 39,7,0,Quincy Carter pass complete to Robert Thomas for no gain,0.500,-0.780
2,13:37,4,7,DAL 39,7,0,"Micah Knorr punts 37 yards, returned by Terrence Wilkins for no gain. Penalty on Kole Ayi: Offensive Holding, 10 yards",-0.780,0.280
2,13:25,1,10,STL 14,7,0,Jamie Martin pass complete to Torry Holt for 21 yards (tackle by Randal Williams),-0.280,1.270
2,12:47,1,10,STL 35,7,0,Jamie Martin pass complete to Ernie Conwell for 25 yards (tackle by Dexter Coakley),1.270,2.920
2,12:10,1,10,DAL 40,7,0,Marshall Faulk left guard for 2 yards (tackle by La'Roi Glover and Dexter Coakley),2.920,2.640
2,11:31,2,8,DAL 38,7,0,Jamie Martin pass complete to Isaac Bruce for 10 yards (tackle by Derek Ross),2.640,3.710
2,10:51,1,10,DAL 28,7,0,Ricky Proehl pass incomplete intended for Torry Holt (defended by Lynn Scott),3.710,3.170
2,10:44,2,10,DAL 28,7,0,Jamie Martin pass incomplete intended for Isaac Bruce is intercepted by Darren Woodson at DAL-3 and returned for 1 yard,3.170,0.380
2,10:36,1,10,DAL 4,7,0,Quincy Carter pass complete to James Whalen for 9 yards (tackle by Adam Archuleta),-0.380,-0.120
2,10:07,2,1,DAL 13,7,0,Emmitt Smith left guard for no gain (tackle by Brian Young and Adam Archuleta),-0.120,-0.370
2,9:30,3,1,DAL 13,7,0,Emmitt Smith left end for 2 yards (tackle by Don Davis),-0.370,-0.220
2,9:08,1,10,DAL 15,7,0,Quincy Carter pass incomplete intended for Emmitt Smith (defended by Ryan Pickett),-0.220,-0.710
2,9:01,2,10,DAL 15,7,0,Troy Hambrick right tackle for 11 yards (tackle by Aeneas Williams),-0.710,0.670
2,8:24,1,10,DAL 26,7,0,Quincy Carter left end for 2 yards (tackle by Robert Thomas),0.670,0.400
2,7:40,2,8,DAL 28,7,0,Troy Hambrick right tackle for 5 yards (tackle by Don Davis),0.400,0.370
