Unnamed: 0,PHI,TAM
First Downs,24,18
Rush-Yds-TDs,24-91-2,23-43-0
Cmp-Att-Yd-TD-INT,35-48-334-1-0,27-33-402-4-1
Sacked-Yards,3-13,2-9
Net Pass Yards,321,393
Total Yards,412,436
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,6-55,4-44
Third Down Conv.,5-15,4-10
Fourth Down Conv.,3-5,0-0
Time of Possession,35:39,24:21
