Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
1,8:07,1,30,PHI 24,0,7,Nick Foles pass incomplete short right intended for Nelson Agholor (defended by Carlton Davis),0.540,-1.380
1,7:59,2,30,PHI 24,0,7,"Nick Foles pass complete short right to Nelson Agholor for 12 yards (tackle by Carlton Davis). Penalty on Corey Clement: Tripping, 10 yards (no play)",-1.380,-2.910
1,7:37,2,40,PHI 14,0,7,Corey Clement up the middle for -1 yards (tackle by Kwon Alexander and Lavonte David),-2.910,-4.850
1,6:54,3,41,PHI 13,0,7,Nick Foles pass complete short right to Corey Clement for 15 yards (tackle by Carlton Davis),-4.850,-1.500
1,6:15,4,26,PHI 28,0,7,"Cameron Johnston punts 56 yards, returned by Adam Humphries for -1 yards (tackle by Avonte Maddox)",-1.500,0.220
1,6:04,1,10,TAM 15,0,7,Peyton Barber up the middle for 9 yards (tackle by Ronald Darby),-0.220,0.620
1,5:33,2,1,TAM 24,0,7,Ryan Fitzpatrick pass complete short left to Mike Evans for 7 yards (tackle by Ronald Darby),0.620,1.000
1,5:08,1,10,TAM 31,0,7,"Peyton Barber left guard for 4 yards (tackle by Jordan Hicks). Penalty on Ryan Jensen: Unnecessary Roughness, 15 yards",1.000,-1.030
1,4:42,2,21,TAM 20,0,7,Ryan Fitzpatrick pass incomplete short left intended for Adam Humphries,-1.030,-1.680
1,4:39,3,21,TAM 20,0,7,Ryan Fitzpatrick pass complete short middle to Mike Evans for 5 yards (tackle by Fletcher Cox),-1.680,-1.700
1,4:05,4,16,TAM 25,0,7,Bryan Anger punts 47 yards downed by Freddie Martino,-1.700,-0.810
1,3:53,1,10,PHI 28,0,7,Wendell Smallwood up the middle for 4 yards (tackle by Lavonte David and Ryan Smith),0.810,0.800
1,3:13,2,6,PHI 32,0,7,Corey Clement left guard for 2 yards (tackle by Beau Allen and Lavonte David),0.800,0.370
1,2:30,3,4,PHI 34,0,7,Nick Foles up the middle for 4 yards (tackle by Carlton Davis),0.370,1.470
1,1:42,1,10,PHI 38,0,7,Wendell Smallwood right end for 8 yards (tackle by Kwon Alexander),1.470,2.000
1,1:03,2,2,PHI 46,0,7,"Nick Foles sacked by Kwon Alexander for no gain. Nick Foles fumbles (forced by Kwon Alexander), recovered by Carlton Davis at PHI-47",2.000,-2.460
1,0:56,1,10,PHI 47,0,7,Peyton Barber left end for -6 yards (tackle by Derek Barnett),2.460,1.100
1,0:22,2,16,TAM 47,0,7,Ryan Fitzpatrick pass deep left (defended by Rodney McLeod) intended for O.J. Howard is intercepted by Ronald Darby at PHI-37 and returned for 16 yards,1.100,-2.460
1,0:13,1,10,TAM 47,0,7,Nick Foles sacked by Jason Pierre-Paul for -4 yards,2.460,1.370
Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,PHI 49,0,7,Nick Foles pass complete short middle to Zach Ertz for 6 yards (tackle by Chris Conte),1.370,1.490
2,14:18,3,8,TAM 45,0,7,Nick Foles pass incomplete deep left intended for Shelton Gibson,1.490,0.270
2,14:12,4,8,TAM 45,0,7,"Cameron Johnston punts 45 yards, touchback.",0.270,-0.280
2,14:04,1,10,TAM 20,0,7,Peyton Barber up the middle for 1 yard (tackle by Chris Long),0.280,-0.130
2,13:39,2,9,TAM 21,0,7,Ryan Fitzpatrick pass complete short right to Chris Godwin for 16 yards (tackle by Malcolm Jenkins),-0.130,1.400
2,13:01,1,10,TAM 37,0,7,Ryan Fitzpatrick pass complete short right to O.J. Howard for 1 yard (tackle by Nigel Bradham),1.400,0.990
2,12:30,2,9,TAM 38,0,7,Ryan Fitzpatrick pass complete short right to DeSean Jackson for 9 yards,0.990,2.060
2,11:58,1,10,TAM 47,0,7,Ryan Fitzpatrick pass incomplete deep left intended for Mike Evans,2.060,1.520
2,11:52,2,10,TAM 47,0,7,Jacquizz Rodgers left tackle for no gain (tackle by Fletcher Cox),1.520,0.830
2,11:16,3,10,TAM 47,0,7,Ryan Fitzpatrick pass incomplete deep left intended for Mike Evans,0.830,-0.260
2,11:08,4,10,TAM 47,0,7,Bryan Anger punts 31 yards downed by Garrison Sanborn,-0.260,-0.410
2,11:00,1,10,PHI 22,0,7,Nick Foles pass complete short middle to Zach Ertz for 11 yards (tackle by Ryan Smith),0.410,1.140
2,10:20,1,10,PHI 33,0,7,"Nick Foles pass incomplete short right intended for Zach Ertz. Penalty on Ryan Smith: Defensive Holding (Declined) . Penalty on Chris Conte: Defensive Pass Interference, 14 yards (no play)",1.140,2.060
2,10:14,1,10,PHI 47,0,7,Nick Foles pass complete short right to Joshua Perkins for 8 yards (tackle by M.J. Stewart),2.060,2.600
2,9:38,2,2,TAM 45,0,7,"Penalty on Stefen Wisniewski: False Start, 5 yards (no play)",2.600,1.920
2,9:32,2,7,PHI 50,0,7,Nick Foles pass incomplete short left intended for Kamar Aiken,1.920,1.220
2,9:29,3,7,PHI 50,0,7,Nick Foles pass complete short left to Nelson Agholor for 13 yards,1.220,3.120
2,9:05,1,10,TAM 37,0,7,Nick Foles pass complete short right to Zach Ertz for 3 yards (tackle by Chris Conte),3.120,2.980
2,8:25,2,7,TAM 34,0,7,Nick Foles pass complete short middle to Zach Ertz for 6 yards (tackle by Chris Conte),2.980,3.070
2,7:42,3,1,TAM 28,0,7,Corey Clement up the middle for 2 yards (tackle by Jerel Worthy),3.070,3.840
2,7:03,1,10,TAM 26,0,7,Nick Foles pass incomplete short left intended for Joshua Perkins,3.840,3.300
2,6:59,2,10,TAM 26,0,7,Wendell Smallwood up the middle for 6 yards (tackle by Chris Conte),3.300,3.400
2,6:17,3,4,TAM 20,0,7,Nick Foles pass complete short left to Nelson Agholor for 3 yards (tackle by Chris Conte and M.J. Stewart),3.400,2.460
2,5:49,4,1,TAM 17,0,7,Nick Foles up the middle for 2 yards (tackle by Gerald McCoy),2.460,4.580
2,5:06,1,10,TAM 15,0,7,Nick Foles pass incomplete short right intended for Nelson Agholor,4.580,3.950
2,4:57,2,10,TAM 15,6,7,"Corey Clement left end for 15 yards, touchdown",3.950,7.000
2,4:51,,,TAM 15,7,7,Jake Elliott kicks extra point good,0.000,0.000
2,4:51,,,PHI 35,7,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,4:51,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,4:51,1,10,TAM 25,7,13,"Ryan Fitzpatrick pass complete short middle to O.J. Howard for 75 yards, touchdown",0.610,7.000
2,4:39,,,PHI 15,7,13,Chandler Catanzaro kicks extra point no good wide right,0.000,-1.000
2,4:39,,,TAM 35,7,13,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
2,4:39,1,10,PHI 25,7,13,Wendell Smallwood up the middle for no gain (tackle by Jason Pierre-Paul),0.610,0.060
2,4:05,2,10,PHI 25,7,13,Nick Foles pass complete short right to Kamar Aiken for -1 yards (tackle by M.J. Stewart),0.060,-0.760
2,3:23,3,11,PHI 24,7,13,Wendell Smallwood up the middle for 6 yards (tackle by Justin Evans and Gerald McCoy),-0.760,-1.370
2,2:36,4,5,PHI 30,7,13,"Cameron Johnston punts 51 yards, returned by DeSean Jackson for 11 yards (tackle by Kamu Grugier-Hill)",-1.370,-0.940
2,2:26,1,10,TAM 30,7,13,Ryan Fitzpatrick pass complete deep middle to O.J. Howard for 20 yards (tackle by Malcolm Jenkins),0.940,2.260
2,2:02,1,10,TAM 50,7,13,Ryan Fitzpatrick pass complete deep middle to Chris Godwin for 17 yards (tackle by Jalen Mills),2.260,3.380
2,1:57,1,10,PHI 33,7,13,Ryan Fitzpatrick pass complete short left to Mike Evans for 9 yards (tackle by Malcolm Jenkins),3.380,4.050
2,1:43,2,1,PHI 24,7,13,Ryan Fitzpatrick pass complete short left to Mike Evans for 9 yards (tackle by Ronald Darby),4.050,4.580
2,1:14,1,10,PHI 15,7,13,Jacquizz Rodgers up the middle for 7 yards (tackle by Chris Long and Rodney McLeod),4.580,5.220
2,0:46,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:46,2,3,PHI 8,7,19,"Ryan Fitzpatrick pass complete short left to Chris Godwin for 8 yards, touchdown. Penalty on Michael Bennett: Defensive Offside (Declined)",5.220,7.000
2,0:42,,,PHI 15,7,20,Chandler Catanzaro kicks extra point good,0.000,0.000
2,0:42,,,TAM 35,7,20,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
2,0:42,1,10,PHI 25,7,20,Nick Foles pass complete short middle to Nelson Agholor for 2 yards (tackle by Chris Conte),0.610,0.330
2,0:37,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:37,2,8,PHI 27,7,20,Nick Foles pass complete deep right to Zach Ertz for 34 yards,0.330,2.980
2,0:30,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,0:30,1,10,TAM 39,7,20,Nick Foles pass complete short right to Corey Clement for -5 yards (tackle by Kwon Alexander),2.980,1.770
2,0:27,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:27,2,15,TAM 44,7,20,Nick Foles pass complete short right to Zach Ertz for 8 yards (tackle by Carlton Davis),1.770,2.150
2,0:23,3,7,TAM 36,7,20,Nick Foles pass complete short middle to Corey Clement for 12 yards (tackle by Lavonte David),2.150,3.970
2,0:12,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:12,1,10,TAM 24,7,20,Nick Foles pass incomplete deep left intended for Nelson Agholor,3.970,3.430
2,0:07,2,10,TAM 24,7,20,Jake Elliott 42 yard field goal no good,3.430,-1.070
2,0:04,1,10,TAM 32,7,20,Ryan Fitzpatrick kneels for -1 yards,1.070,0.390
Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,7,20,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,7,20,Jay Ajayi up the middle for 20 yards (tackle by Justin Evans and Chris Conte),0.610,1.930
3,14:13,1,10,PHI 45,7,20,Jay Ajayi left guard for 2 yards (tackle by Jason Pierre-Paul and Ryan Smith),1.930,1.650
3,13:36,2,8,PHI 47,7,20,Nick Foles pass incomplete short left intended for Joshua Perkins (defended by Adarius Taylor),1.650,0.960
3,13:30,3,8,PHI 47,7,20,Nick Foles pass complete short right to Zach Ertz for 4 yards (tackle by Marcus Williams),0.960,0.000
3,12:45,4,4,TAM 49,7,20,Nick Foles pass complete short right to Zach Ertz for 3 yards (tackle by Lavonte David),0.000,-1.990
3,12:36,1,10,TAM 46,7,20,Peyton Barber up the middle for 8 yards (tackle by Rodney McLeod),1.990,2.530
3,12:08,2,2,PHI 46,7,20,Ryan Fitzpatrick pass complete short middle to Mike Evans for 9 yards (tackle by Ronald Darby),2.530,3.120
3,11:37,1,10,PHI 37,7,20,Peyton Barber up the middle for no gain (tackle by Derek Barnett),3.120,2.570
3,11:01,2,10,PHI 37,7,20,Peyton Barber left guard for 3 yards (tackle by Nigel Bradham and Haloti Ngata),2.570,2.280
3,10:23,3,7,PHI 34,7,20,Ryan Fitzpatrick pass complete deep left to DeSean Jackson for 28 yards,2.280,5.830
3,10:02,1,6,PHI 6,7,20,Peyton Barber up the middle for 2 yards (tackle by Derek Barnett),5.830,5.340
3,9:22,2,4,PHI 4,7,26,"Ryan Fitzpatrick pass complete short middle to Mike Evans for 4 yards, touchdown",5.340,7.000
3,9:19,,,PHI 15,7,27,Chandler Catanzaro kicks extra point good,0.000,0.000
3,9:19,,,TAM 35,7,27,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
3,9:19,1,10,PHI 25,7,27,Nick Foles sacked by Gerald McCoy for -9 yards,0.610,-1.290
3,8:34,2,19,PHI 16,7,27,Nick Foles pass complete short right to Wendell Smallwood for 2 yards (tackle by Kwon Alexander),-1.290,-1.720
3,7:47,3,17,PHI 18,7,27,Nick Foles pass complete short right to Kamar Aiken for 10 yards (tackle by M.J. Stewart),-1.720,-1.500
3,7:11,4,7,PHI 28,7,27,"Cameron Johnston punts 65 yards, returned by Adam Humphries for 9 yards (tackle by Corey Graham)",-1.500,0.140
3,6:59,1,10,TAM 16,7,27,Peyton Barber up the middle for 2 yards (tackle by Fletcher Cox),-0.140,-0.350
3,6:26,2,8,TAM 18,7,27,Ryan Fitzpatrick pass complete short left to Mike Evans for 6 yards (tackle by Ronald Darby),-0.350,-0.320
3,5:51,3,2,TAM 24,7,27,Jacquizz Rodgers up the middle for 6 yards (tackle by Nigel Bradham and Michael Bennett),-0.320,0.940
3,5:17,1,10,TAM 30,7,27,Jacquizz Rodgers up the middle for no gain (tackle by Brandon Graham and Kamu Grugier-Hill),0.940,0.390
3,4:38,2,10,TAM 30,7,27,Ryan Fitzpatrick pass incomplete deep left intended for Chris Godwin,0.390,-0.300
3,4:32,3,10,TAM 30,7,27,Ryan Fitzpatrick pass complete short left to Jacquizz Rodgers for 7 yards (tackle by Rodney McLeod),-0.300,-0.910
3,3:58,4,3,TAM 37,7,27,"Bryan Anger punts 47 yards, fair catch by Corey Clement at PHI-16",-0.910,0.140
3,3:51,1,10,PHI 16,7,27,Nick Foles pass complete short right to Corey Clement for 19 yards (tackle by Justin Evans),-0.140,1.270
3,3:22,1,10,PHI 35,7,27,Nick Foles pass incomplete short middle intended for Nelson Agholor (defended by Ryan Smith),1.270,0.720
3,3:15,2,10,PHI 35,7,27,Nick Foles pass complete short left to Nelson Agholor for 50 yards (tackle by Ryan Smith),0.720,4.580
3,2:46,1,10,TAM 15,7,27,Corey Clement up the middle for 7 yards (tackle by Jordan Whitehead),4.580,5.220
3,2:08,2,3,TAM 8,7,27,Nick Foles pass incomplete short middle intended for Zach Ertz (defended by Ryan Smith),5.220,4.450
3,2:03,3,3,TAM 8,7,27,Nelson Agholor left end for 2 yards (tackle by Jordan Whitehead),4.450,3.020
3,1:30,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
3,1:30,4,1,TAM 6,7,27,Nick Foles up the middle for 2 yards (tackle by William Gholston),3.020,6.280
3,0:47,1,4,TAM 4,7,27,Nick Foles pass complete short left to Zach Ertz for 2 yards (tackle by Ryan Smith and Jordan Whitehead),6.280,5.720
3,0:12,2,2,TAM 2,13,27,"Jay Ajayi up the middle for 2 yards, touchdown",5.720,7.000
3,0:09,,,TAM 15,14,27,Jake Elliott kicks extra point good,0.000,0.000
3,0:09,,,PHI 35,14,27,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,0:09,1,10,TAM 25,14,27,Ryan Fitzpatrick pass complete short left to Mike Evans for 8 yards (tackle by Ronald Darby),0.610,1.140
Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,TAM 33,14,27,Peyton Barber left tackle for -3 yards (tackle by Michael Bennett),1.140,0.040
4,14:37,3,5,TAM 30,14,27,Ryan Fitzpatrick pass complete short left to Chris Godwin for 8 yards (tackle by Ronald Darby and Jordan Hicks),0.040,1.470
4,14:00,1,10,TAM 38,14,27,Peyton Barber up the middle for 3 yards (tackle by Jordan Hicks and Nigel Bradham),1.470,1.330
4,13:24,2,7,TAM 41,14,27,Ryan Fitzpatrick pass complete short right to Adam Humphries for 8 yards (tackle by Brandon Graham and Nigel Bradham),1.330,2.190
4,12:44,1,10,TAM 49,14,27,"Ryan Fitzpatrick pass complete short left to Mike Evans for 16 yards (tackle by Malcolm Jenkins). Mike Evans fumbles (forced by Malcolm Jenkins), recovered by Jordan Hicks at PHI-30 and returned for 13 yards (tackle by Mike Evans)",2.190,-1.800
4,12:30,1,10,PHI 43,14,27,Nick Foles pass complete short left to Zach Ertz for 10 yards (tackle by Lavonte David),1.800,2.460
4,11:47,1,10,TAM 47,14,27,Nick Foles pass complete short right to Nelson Agholor for 4 yards (tackle by Justin Evans),2.460,2.450
4,11:08,2,6,TAM 43,14,27,Nick Foles pass complete short left to Nelson Agholor for 4 yards (tackle by Justin Evans),2.450,2.280
4,10:29,3,2,TAM 39,14,27,Wendell Smallwood left end for 4 yards (tackle by Ryan Smith),2.280,3.250
4,9:53,1,10,TAM 35,14,27,Wendell Smallwood up the middle for no gain (tackle by Jerel Worthy and Jordan Whitehead),3.250,2.700
4,9:11,2,10,TAM 35,14,27,Nick Foles pass incomplete short right intended for Zach Ertz (defended by Lavonte David),2.700,2.010
4,9:05,3,10,TAM 35,14,27,Nick Foles pass incomplete deep right intended for Shelton Gibson,2.010,0.970
4,8:55,4,10,TAM 35,14,27,Nick Foles pass incomplete deep left intended for Corey Clement (defended by Justin Evans),0.970,-1.270
4,8:43,1,10,TAM 35,14,27,Ryan Fitzpatrick sacked by Nigel Bradham for -2 yards,1.270,0.450
4,8:02,2,12,TAM 33,14,27,Ryan Fitzpatrick pass complete short right to Chris Godwin for 7 yards (tackle by Jordan Hicks and Jalen Mills),0.450,0.700
4,7:20,3,5,TAM 40,14,27,Ryan Fitzpatrick pass complete short left to Jacquizz Rodgers for 3 yards (tackle by Ronald Darby),0.700,-0.520
4,6:44,4,2,TAM 43,14,27,"Bryan Anger punts 35 yards, returned by Nelson Agholor for no gain (tackle by Ryan Smith)",-0.520,-0.410
4,6:36,1,10,PHI 22,14,27,"Nick Foles pass incomplete short right intended for Zach Ertz. Penalty on Carlton Davis: Defensive Pass Interference, 10 yards (no play)",0.410,1.070
4,6:24,1,10,PHI 32,14,27,Nick Foles pass complete deep middle to Kamar Aiken for 18 yards (tackle by Marcus Williams),1.070,2.260
4,5:56,1,10,PHI 50,14,27,Nick Foles pass complete deep right to Joshua Perkins for 30 yards (tackle by Jordan Whitehead),2.260,4.240
4,5:20,1,10,TAM 20,14,27,Nick Foles pass complete short right to Jay Ajayi for 4 yards (tackle by Carlton Davis),4.240,4.280
4,4:53,2,6,TAM 16,14,27,Nick Foles pass complete short right to Joshua Perkins for 8 yards (tackle by Carlton Davis),4.280,5.370
4,4:29,1,8,TAM 8,14,27,Jay Ajayi up the middle for 3 yards (tackle by Jordan Whitehead),5.370,5.150
4,3:58,2,5,TAM 5,14,27,Jay Ajayi up the middle for 3 yards (tackle by Lavonte David),5.150,4.950
4,3:34,3,2,TAM 2,14,27,Jay Ajayi up the middle for no gain (tackle by Jason Pierre-Paul and Lavonte David),4.950,3.250
4,2:51,4,2,TAM 2,20,27,"Nick Foles pass complete short right to Nelson Agholor for 2 yards, touchdown",3.250,7.000
4,2:46,,,TAM 15,21,27,Jake Elliott kicks extra point good,0.000,0.000
4,2:46,,,PHI 35,21,27,"Jake Elliott kicks off 63 yards, returned by Adam Humphries for no gain (tackle by D.J. Alexander)",0.000,-0.220
4,2:41,1,10,TAM 15,21,27,Peyton Barber up the middle for -3 yards (tackle by Nigel Bradham and Jordan Hicks),-0.220,-1.000
4,2:36,,,,,,Timeout #1 by Philadelphia Eagles,,
4,2:36,2,13,TAM 12,21,27,Ryan Fitzpatrick pass complete short right to DeSean Jackson for 17 yards (tackle by Jalen Mills),-1.000,0.870
4,2:30,1,10,TAM 29,21,27,Peyton Barber left tackle for 2 yards (tackle by Brandon Graham and Fletcher Cox),0.870,0.600
4,2:26,,,,,,Timeout #2 by Philadelphia Eagles,,
4,2:26,2,8,TAM 31,21,27,"Penalty on Brandon Graham: Neutral Zone Infraction, 5 yards (no play)",0.600,1.270
4,2:26,2,3,TAM 36,21,27,Peyton Barber left guard for no gain (tackle by Jordan Hicks and Brandon Graham),1.270,0.560
4,2:23,,,,,,Timeout #3 by Philadelphia Eagles,,
4,2:23,3,3,TAM 36,21,27,Ryan Fitzpatrick pass complete short right to Mike Evans for 10 yards (tackle by Jalen Mills). Penalty on Jalen Mills: Defensive Holding (Declined),0.560,1.990
4,2:20,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,2:20,1,10,TAM 46,21,27,Peyton Barber right tackle for no gain (tackle by Jordan Hicks),1.990,1.450
4,2:00,2,10,TAM 46,21,27,Peyton Barber up the middle for no gain (tackle by Brandon Graham and Nigel Bradham),1.450,0.760
4,1:15,3,10,TAM 46,21,27,Jacquizz Rodgers left guard for no gain (tackle by Kamu Grugier-Hill and Malcolm Jenkins),0.760,-0.320
4,0:28,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,0:28,4,10,TAM 46,21,27,"Bryan Anger punts 47 yards, returned by Corey Clement for 3 yards (tackle by Ryan Smith)",-0.320,0.380
4,0:19,1,10,PHI 10,21,27,Nick Foles pass complete short middle to Joshua Perkins for 11 yards (tackle by Lavonte David and Kwon Alexander),-0.380,0.340
4,0:04,1,10,PHI 21,21,27,Nick Foles spiked the ball,0.340,-0.200
4,0:03,2,10,PHI 21,21,27,"Nick Foles pass complete short right to Zach Ertz for 7 yards, lateral to Nelson Agholor for -7 yards, lateral to Nick Foles for -5 yards, lateral to Wendell Smallwood for no gain. Wendell Smallwood fumbles, recovered by Lavonte David at PHI-16",-0.200,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
