Unnamed: 0,ARI,WAS
First Downs,14,21
Rush-Yds-TDs,20-70-1,32-122-1
Cmp-Att-Yd-TD-INT,14-36-187-1-1,28-40-327-3-1
Sacked-Yards,1-0,1-7
Net Pass Yards,187,320
Total Yards,257,442
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,1-5,7-56
Third Down Conv.,4-13,9-16
Fourth Down Conv.,0-0,1-2
Time of Possession,25:36,34:24
