Quarter,Time,Tm,Detail,ARI,WAS
1.0,8:41,Redskins,Brett Conway 35 yard field goal,0,3
,2:59,Cardinals,Bill Gramatica 36 yard field goal,3,3
,0:10,Cardinals,Jake Plummer 7 yard rush (Bill Gramatica kick),10,3
2.0,10:10,Redskins,Kevin Lockett 26 yard pass from Shane Matthews (Brett Conway kick),10,10
,3:13,Cardinals,Bill Gramatica 20 yard field goal,13,10
3.0,9:51,Redskins,Stephen Davis 3 yard rush (Brett Conway kick),13,17
,8:14,Cardinals,Bill Gramatica 39 yard field goal,16,17
,6:28,Redskins,Rod Gardner 43 yard pass from Shane Matthews (Brett Conway kick),16,24
4.0,12:08,Redskins,Derrius Thompson 17 yard pass from Shane Matthews (Brett Conway kick),16,31
,10:39,Cardinals,David Boston 29 yard pass from Jake Plummer (Bill Gramatica kick),23,31
