Quarter,Time,Tm,Detail,WAS,TAM
1.0,8:40,Redskins,Clinton Portis 6 yard rush (John Hall kick),7,0
,4:15,Redskins,Sean Taylor 51 yard defensive fumble return (John Hall kick),14,0
2.0,10:02,Buccaneers,Matt Bryant 43 yard field goal,14,3
,5:34,Redskins,John Hall 47 yard field goal,17,3
3.0,9:40,Buccaneers,Chris Simms 2 yard rush (Matt Bryant kick),17,10
