Unnamed: 0,WAS,TAM
First Downs,9,17
Rush-Yds-TDs,31-95-1,25-75-1
Cmp-Att-Yd-TD-INT,7-16-41-0-1,25-38-198-0-2
Sacked-Yards,2-16,3-30
Net Pass Yards,25,168
Total Yards,120,243
Fumbles-Lost,3-0,3-1
Turnovers,1,3
Penalties-Yards,4-30,3-30
Third Down Conv.,4-13,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,25:31,34:29
