Quarter,Time,Tm,Detail,ATL,CAR
1.0,7:49,Panthers,Greg Olsen 25 yard pass from Cam Newton (Graham Gano kick),0,7
2.0,10:55,Panthers,Graham Gano 24 yard field goal,0,10
,4:58,Panthers,Graham Gano 41 yard field goal,0,13
,0:00,Panthers,Graham Gano 31 yard field goal,0,16
3.0,11:01,Panthers,Cam Newton 72 yard rush (Graham Gano kick),0,23
,4:48,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),7,23
4.0,13:57,Falcons,Julio Jones 11 yard pass from Matt Ryan (pass failed),13,23
,4:11,Panthers,DeAngelo Williams 53 yard pass from Cam Newton (Graham Gano kick),13,30
,0:53,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),20,30
