Unnamed: 0,ATL,CAR
First Downs,26,23
Rush-Yds-TDs,11-35-1,32-195-1
Cmp-Att-Yd-TD-INT,34-49-342-2-1,23-35-287-2-0
Sacked-Yards,2-15,1-7
Net Pass Yards,327,280
Total Yards,362,475
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,3-15,3-10
Third Down Conv.,2-8,9-15
Fourth Down Conv.,1-2,1-1
Time of Possession,24:13,35:47
