Quarter,Time,Tm,Detail,JAX,HOU
1.0,5:24,Texans,Nick Novak 29 yard field goal,0,3
2.0,14:14,Texans,Jonathan Grimes 12 yard pass from Brian Hoyer (Nick Novak kick),0,10
,10:13,Jaguars,Jason Myers 43 yard field goal,3,10
,5:37,Texans,Jonathan Grimes 3 yard rush (Nick Novak kick),3,17
,0:03,Texans,Nick Novak 51 yard field goal,3,20
3.0,0:43,Jaguars,Jason Myers 34 yard field goal,6,20
4.0,3:24,Texans,Nick Novak 51 yard field goal,6,23
,3:09,Texans,Kareem Jackson 27 yard interception return (Nick Novak kick),6,30
