Unnamed: 0,DAL,NYJ
First Downs,26,20
Rush-Yds-TDs,34-129-2,20-56-1
Cmp-Att-Yd-TD-INT,28-40-278-0-0,23-32-338-2-1
Sacked-Yards,1-8,2-12
Net Pass Yards,270,326
Total Yards,399,382
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,9-68,8-105
Third Down Conv.,10-17,2-10
Fourth Down Conv.,0-1,0-0
Time of Possession,32:03,27:57
