Quarter,Time,Tm,Detail,DAL,NYJ
1.0,3:24,Jets,Le'Veon Bell 2 yard rush (Sam Ficken kick),0,7
2.0,14:56,Cowboys,Brett Maher 50 yard field goal,3,7
,3:34,Jets,Robbie Chosen 92 yard pass from Sam Darnold (Sam Ficken kick),3,14
,0:27,Jets,Ryan Griffin 5 yard pass from Sam Darnold (Sam Ficken kick),3,21
,0:00,Cowboys,Brett Maher 62 yard field goal,6,21
3.0,7:50,Cowboys,Brett Maher 32 yard field goal,9,21
4.0,6:30,Cowboys,Ezekiel Elliott 5 yard rush (Brett Maher kick),16,21
,3:24,Jets,Sam Ficken 38 yard field goal,16,24
,0:43,Cowboys,Dak Prescott 4 yard rush (pass failed),22,24
