Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 69 yards, returned by Vyncint Smith for 22 yards (tackle by Jourdan Lewis)",0.000,0.040
1,14:56,1,10,NYJ 18,0,0,Sam Darnold pass complete deep left to Demaryius Thomas for 17 yards (tackle by Chidobe Awuzie),0.040,1.270
1,14:22,1,10,NYJ 35,0,0,Sam Darnold sacked by Robert Quinn for -5 yards,1.270,0.050
1,13:39,2,15,NYJ 30,0,0,Le'Veon Bell right end for 6 yards (tackle by Jaylon Smith),0.050,0.170
1,12:54,3,9,NYJ 36,0,0,Sam Darnold pass incomplete deep right intended for Robby Anderson,0.170,-0.980
1,12:49,4,9,NYJ 36,0,0,"Lac Edwards punts 48 yards, returned by Tavon Austin for 7 yards (tackle by Harvey Langi). Penalty on Albert McClellan: Offensive Holding, 10 yards",-0.980,-1.140
1,12:40,1,10,DAL 33,0,0,Ezekiel Elliott left guard for 2 yards (tackle by Leonard Williams),1.140,0.860
1,12:04,2,8,DAL 35,0,0,Dak Prescott pass complete short left to Amari Cooper for 3 yards (tackle by Brian Poole),0.860,0.560
1,11:35,3,5,DAL 38,0,0,Dak Prescott pass incomplete deep right intended for Amari Cooper (defended by Trumaine Johnson),0.560,-0.850
1,11:29,4,5,DAL 38,0,0,"Chris Jones punts 55 yards, returned by Braxton Berrios for 10 yards (tackle by C.J. Goodwin)",-0.850,0.060
1,11:18,1,10,NYJ 17,0,0,Le'Veon Bell right guard for 2 yards (tackle by Antwaun Woods and Leighton Vander Esch),-0.060,-0.250
1,10:44,2,8,NYJ 19,0,0,"Sam Darnold pass incomplete deep right intended for Robby Anderson. Penalty on Chidobe Awuzie: Defensive Pass Interference, 20 yards (no play)",-0.250,1.530
1,10:39,1,10,NYJ 39,0,0,Le'Veon Bell left guard for 1 yard (tackle by Leighton Vander Esch and Jeff Heath),1.530,1.120
1,10:02,2,9,NYJ 40,0,0,Sam Darnold pass complete short middle to Vyncint Smith for 5 yards (tackle by Jeff Heath),1.120,1.090
1,9:18,3,4,NYJ 45,0,0,Sam Darnold pass complete deep left to Jamison Crowder for 24 yards (tackle by Anthony Brown),1.090,3.510
1,8:40,1,10,DAL 31,0,0,Sam Darnold pass complete short right to Ty Montgomery for 4 yards (tackle by Jeff Heath),3.510,3.510
1,8:01,2,6,DAL 27,0,0,Sam Darnold pass complete short left to Le'Veon Bell for 3 yards (tackle by Leighton Vander Esch),3.510,3.200
1,7:17,3,3,DAL 24,0,0,Le'Veon Bell left guard for 3 yards (tackle by Christian Covington and Leighton Vander Esch),3.200,4.170
1,6:43,1,10,DAL 21,0,0,Sam Darnold pass complete short left to Robby Anderson for 4 yards (tackle by Byron Jones),4.170,4.200
1,6:11,2,6,DAL 17,0,0,"Penalty on Antwaun Woods: Encroachment, 5 yards (no play)",4.200,5.160
1,5:53,2,1,DAL 12,0,0,Sam Darnold up the middle for 2 yards (tackle by Antwaun Woods),5.160,4.910
1,5:15,1,10,DAL 10,0,0,Sam Darnold pass complete short middle to Ty Montgomery for 3 yards (tackle by Xavier Woods),4.910,4.760
1,4:36,2,7,DAL 7,0,0,Sam Darnold pass incomplete short middle,4.760,3.810
1,4:32,3,7,DAL 7,0,0,"Sam Darnold up the middle for 3 yards (tackle by Maliek Collins). Penalty on Maliek Collins: Horse Collar Tackle, 2 yards",3.810,6.740
1,4:12,1,2,DAL 2,0,0,"Sam Darnold pass incomplete short left intended for Demaryius Thomas. Penalty on Byron Jones: Defensive Pass Interference, 1 yard (no play)",6.740,6.970
1,4:09,1,1,DAL 1,0,0,Le'Veon Bell right tackle for -1 yards (tackle by Sean Lee and Leighton Vander Esch),6.970,5.720
1,3:30,2,2,DAL 2,0,6,"Le'Veon Bell right tackle for 2 yards, touchdown",5.720,7.000
1,3:24,,,DAL 15,0,7,Sam Ficken kicks extra point good,0.000,0.000
1,3:24,,,NYJ 35,0,7,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
1,3:24,1,10,DAL 25,0,7,Ezekiel Elliott right end for 12 yards (tackle by Marcus Maye),0.610,1.400
1,2:47,1,10,DAL 37,0,7,Dak Prescott pass incomplete short middle intended for Jason Witten,1.400,0.860
1,2:44,2,10,DAL 37,0,7,Ezekiel Elliott right end for 9 yards (tackle by Trumaine Johnson),0.860,1.360
1,2:12,3,1,DAL 46,0,7,Dak Prescott pass complete short left to Ezekiel Elliott for 16 yards (tackle by Marcus Maye),1.360,3.050
1,1:34,1,10,NYJ 38,0,7,Tony Pollard left guard for 1 yard (tackle by Tarell Basham and Kyle Phillips),3.050,2.640
1,0:58,2,9,NYJ 37,0,7,"Dak Prescott pass complete short left to Tavon Austin for 15 yards (tackle by Darryl Roberts). Penalty on Tavon Austin: Illegal Formation, 5 yards (no play)",2.640,1.970
1,0:36,2,14,NYJ 42,0,7,Dak Prescott pass complete short left to Cedrick Wilson for 10 yards (tackle by Darryl Roberts),1.970,2.610
1,0:01,3,4,NYJ 32,0,7,Dak Prescott pass incomplete short left intended for Michael Gallup,2.610,1.270
Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,NYJ 32,3,7,Brett Maher 50 yard field goal good,1.270,3.000
2,14:56,,,DAL 35,3,7,"Brett Maher kicks off 65 yards, returned by Vyncint Smith for 28 yards (tackle by Justin March-Lillard)",0.000,0.810
2,14:51,1,10,NYJ 28,3,7,Sam Darnold pass incomplete deep right intended for Bilal Powell,0.810,0.260
2,14:46,2,10,NYJ 28,3,7,"Bilal Powell right tackle for 5 yards (tackle by Jeff Heath). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",0.260,-1.190
2,14:23,2,20,NYJ 18,3,7,Bilal Powell right end for 5 yards (tackle by Sean Lee),-1.190,-1.090
2,13:52,,,,,,Timeout #1 by New York Jets,,
2,13:52,3,15,NYJ 23,3,7,Sam Darnold pass incomplete deep right,-1.090,-1.830
2,13:46,4,15,NYJ 23,3,7,Lac Edwards punts 48 yards out of bounds,-1.830,-0.870
2,13:37,1,10,DAL 29,3,7,Ezekiel Elliott right tackle for no gain (tackle by Steve McLendon),0.870,0.330
2,13:03,2,10,DAL 29,3,7,Dak Prescott pass complete short right to Tavon Austin for 13 yards (tackle by Trumaine Johnson),0.330,1.730
2,12:29,1,10,DAL 42,3,7,Ezekiel Elliott right tackle for no gain (tackle by Kyle Phillips and Quinnen Williams),1.730,1.190
2,11:54,2,10,DAL 42,3,7,Dak Prescott pass incomplete short left intended for Michael Gallup,1.190,0.500
2,11:49,3,10,DAL 42,3,7,Ezekiel Elliott left end for 3 yards (tackle by Marcus Maye). Penalty on Cameron Fleming: Offensive Holding (Declined),0.500,-0.390
2,11:22,4,7,DAL 45,3,7,"Chris Jones punts 38 yards, fair catch by Braxton Berrios at NYJ-17",-0.390,0.060
2,11:15,1,10,NYJ 17,3,7,Sam Darnold pass complete short middle to Jamison Crowder for 5 yards (tackle by Sean Lee),-0.060,0.210
2,10:47,2,5,NYJ 22,3,7,Le'Veon Bell left end for 1 yard (tackle by Leighton Vander Esch and DeMarcus Lawrence),0.210,-0.490
2,10:01,3,4,NYJ 23,3,7,"Sam Darnold pass complete short left to Jamison Crowder for 10 yards (tackle by Byron Jones). Penalty on Ryan Kalil: Offensive Holding, 10 yards (no play)",-0.490,-1.860
2,9:19,3,14,NYJ 13,3,7,Le'Veon Bell left guard for 6 yards (tackle by Xavier Woods and Jaylon Smith),-1.860,-2.140
2,8:43,4,8,NYJ 19,3,7,"Lac Edwards punts 44 yards, returned by Tavon Austin for 1 yard (tackle by Neville Hewitt)",-2.140,-1.470
2,8:32,1,10,DAL 38,3,7,Dak Prescott pass complete short right to Jason Witten for 7 yards (tackle by Folorunso Fatukasi),1.470,1.870
