Quarter,Time,Tm,Detail,HOU,JAX
1.0,6:39,Texans,Brandin Cooks 22 yard pass from Davis Mills (Ka'imi Fairbairn kick),7,0
,1:42,Jaguars,Matthew Wright 22 yard field goal,7,3
,1:26,Texans,Tremon Smith 98 yard kickoff return (Ka'imi Fairbairn kick),14,3
2.0,12:09,Jaguars,James Robinson 1 yard rush (Matthew Wright kick),14,10
,3:06,Texans,Ka'imi Fairbairn 52 yard field goal,17,10
,0:00,Texans,Ka'imi Fairbairn 51 yard field goal,20,10
3.0,10:39,Texans,Ka'imi Fairbairn 25 yard field goal,23,10
,4:47,Jaguars,Matthew Wright 38 yard field goal,23,13
4.0,11:18,Jaguars,Matthew Wright 35 yard field goal,23,16
,2:22,Texans,Brandin Cooks 43 yard pass from Davis Mills (Ka'imi Fairbairn kick),30,16
