Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Commanders won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Jonathan Taylor up the middle for 2 yards (tackle by John Ridgeway and Kamren Curl),0.610,0.330
1,14:29,2,8,IND 27,0,0,Sam Ehlinger pass complete short right to Michael Pittman for 6 yards (tackle by Benjamin St-Juste),0.330,0.430
1,13:53,3,2,IND 33,0,0,Sam Ehlinger pass incomplete short left intended for Jonathan Taylor (defended by Bobby McCain),0.430,-1.180
1,13:47,4,2,IND 33,0,0,"Matt Haack punts 62 yards, returned by Dax Milne for 12 yards (tackle by Bobby Okereke)",-1.180,0.060
1,13:36,1,10,WAS 17,0,0,Taylor Heinicke pass complete short left to Antonio Gibson for 16 yards (tackle by Grover Stewart),-0.060,1.140
1,12:57,1,10,WAS 33,0,0,Antonio Gibson left end for 2 yards (tackle by Bobby Okereke and Rodney McLeod),1.140,0.860
1,12:15,2,8,WAS 35,0,0,Antonio Gibson right end for 3 yards (tackle by Zaire Franklin),0.860,0.560
1,11:38,3,5,WAS 38,0,0,Taylor Heinicke sacked by DeForest Buckner for -1 yards,0.560,-0.910
1,11:03,4,6,WAS 37,0,0,"Tress Way punts 49 yards, fair catch by Keke Coutee at IND-14",-0.910,0.280
1,10:55,1,10,IND 14,0,0,Sam Ehlinger pass complete short left to Kylen Granson for -2 yards (tackle by Bobby McCain),-0.280,-0.930
1,10:16,2,12,IND 12,0,0,Sam Ehlinger pass complete short left to Nyheim Hines for 7 yards (tackle by Jamin Davis),-0.930,-0.800
1,9:37,3,5,IND 19,0,0,Sam Ehlinger pass incomplete short right intended for Michael Pittman (defended by David Mayo),-0.800,-2.140
1,9:32,4,5,IND 19,0,0,"Matt Haack punts 61 yards, returned by Dax Milne for 10 yards (tackle by Dallis Flowers)",-2.140,-0.940
1,9:21,1,10,WAS 30,0,0,Taylor Heinicke pass complete short left to Antonio Gibson for 18 yards (tackle by Rodney McLeod),0.940,2.130
1,8:47,1,10,WAS 48,0,0,Brian Robinson up the middle for 3 yards (tackle by Dayo Odeyingbo and Bobby Okereke),2.130,1.990
1,8:09,2,7,IND 49,0,0,Curtis Samuel right end for 6 yards (tackle by Stephon Gilmore and Bobby Okereke),1.990,2.080
1,7:28,3,1,IND 43,0,0,Brian Robinson up the middle for 2 yards (tackle by Kenny Moore),2.080,2.850
1,6:48,1,10,IND 41,0,0,Taylor Heinicke pass incomplete short left,2.850,2.310
1,6:41,2,10,IND 41,0,0,Terry McLaurin left end for -7 yards (tackle by Kenny Moore),2.310,0.700
1,6:00,3,17,IND 48,0,0,Taylor Heinicke pass complete short left to J.D. McKissic for 3 yards (tackle by Bobby Okereke),0.700,0.270
1,5:20,4,14,IND 45,0,0,"Tress Way punts 37 yards, fair catch by Keke Coutee at IND-8",0.270,0.380
1,5:17,1,10,IND 8,0,0,Jonathan Taylor up the middle for 3 yards (tackle by Jonathan Allen),-0.380,-0.560
1,4:43,2,7,IND 11,0,0,Jonathan Taylor left guard for 3 yards (tackle by John Ridgeway),-0.560,-0.720
1,4:05,3,4,IND 14,0,0,Sam Ehlinger pass complete short left to Michael Pittman for 10 yards (tackle by David Mayo),-0.720,0.540
1,3:31,1,10,IND 24,0,0,Sam Ehlinger pass complete short middle to Michael Pittman for 16 yards (tackle by Benjamin St-Juste),0.540,1.600
1,2:53,1,10,IND 40,0,0,Jonathan Taylor up the middle for 3 yards (tackle by Bobby McCain),1.600,1.460
1,2:19,2,7,IND 43,0,0,Sam Ehlinger pass complete short right to Parris Campbell for 5 yards (tackle by Bobby McCain),1.460,1.420
1,1:49,3,2,IND 48,0,0,Jonathan Taylor right guard for 27 yards (tackle by Benjamin St-Juste),1.420,3.910
1,1:08,1,10,WAS 25,0,0,Nyheim Hines left end for 1 yard (tackle by Jonathan Allen),3.910,3.500
1,0:35,2,9,WAS 24,0,0,Sam Ehlinger sacked by Daron Payne for -6 yards,3.500,2.010
Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,WAS 30,0,0,Nyheim Hines up the middle for 2 yards (tackle by Rachad Wildgoose and Jonathan Allen),2.010,1.590
2,14:17,4,13,WAS 28,0,3,Chase McLaughlin 46 yard field goal good,1.590,3.000
2,14:13,,,IND 35,0,3,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
2,14:13,1,10,WAS 25,0,3,Brian Robinson up the middle for 7 yards (tackle by Zaire Franklin),0.610,1.010
2,13:38,2,3,WAS 32,0,3,Brian Robinson right tackle for 7 yards (tackle by Shaquille Leonard and E.J. Speed),1.010,1.530
2,12:54,1,10,WAS 39,0,3,Taylor Heinicke pass complete short middle to Terry McLaurin for 42 yards (tackle by Rodney Thomas and Rodney McLeod),1.530,4.310
2,12:08,1,10,IND 19,0,3,Curtis Samuel up the middle for 8 yards (tackle by Shaquille Leonard),4.310,5.140
2,11:45,2,2,IND 11,0,3,Antonio Gibson left guard for 2 yards (tackle by DeForest Buckner and Rodney McLeod),5.140,5.140
2,11:01,1,9,IND 9,6,3,"Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards, touchdown",5.140,7.000
2,10:55,,,IND 15,7,3,Joey Slye kicks extra point good,0.000,0.000
2,10:55,,,WAS 35,7,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,10:55,1,10,IND 25,7,3,Sam Ehlinger pass complete short middle to Kylen Granson for 15 yards (tackle by Jamin Davis),0.610,1.600
2,10:21,1,10,IND 40,7,3,Sam Ehlinger pass incomplete deep right intended for Alec Pierce,1.600,1.050
2,10:16,2,10,IND 40,7,3,Nyheim Hines up the middle for 2 yards (tackle by Jamin Davis),1.050,0.630
2,9:37,3,8,IND 42,7,3,Sam Ehlinger pass incomplete deep left intended for Alec Pierce,0.630,-0.590
2,9:32,4,8,IND 42,7,3,"Matt Haack punts 48 yards, fair catch by Dax Milne at WAS-10",-0.590,0.380
2,9:24,1,10,WAS 10,7,3,Antonio Gibson right tackle for 4 yards (tackle by E.J. Speed),-0.380,-0.460
2,8:46,2,6,WAS 14,7,3,Taylor Heinicke pass complete deep left to Curtis Samuel for 20 yards (tackle by Brandon Facyson),-0.460,1.200
2,8:02,1,10,WAS 34,7,3,Taylor Heinicke pass complete short left to Antonio Gibson for -4 yards (tackle by Grover Stewart),1.200,0.120
2,7:15,2,14,WAS 30,7,3,Taylor Heinicke pass incomplete short middle intended for Curtis Samuel (defended by Grover Stewart),0.120,-0.560
2,7:11,3,14,WAS 30,7,3,Taylor Heinicke scrambles right end for 9 yards (tackle by Grover Stewart and Bobby Okereke),-0.560,-0.780
2,6:21,4,5,WAS 39,7,3,"Tress Way punts 51 yards, returned by Keke Coutee for 9 yards (tackle by Shaka Toney and Christian Holmes)",-0.780,-0.150
2,6:11,1,10,IND 19,7,3,Parris Campbell left end for 28 yards (tackle by David Mayo and Bobby McCain),0.150,2.060
2,5:32,1,10,IND 47,7,3,Nyheim Hines right end for 9 yards (tackle by Bobby McCain and Jamin Davis),2.060,2.730
2,4:54,2,1,WAS 44,7,3,Jonathan Taylor up the middle for 8 yards (tackle by Darrick Forrest),2.730,3.180
2,4:18,1,10,WAS 36,7,3,Jonathan Taylor right tackle for 9 yards (tackle by Bobby McCain and Kamren Curl),3.180,3.850
2,3:42,2,1,WAS 27,7,3,"Sam Ehlinger right end for no gain (tackle by James Smith-Williams). Penalty on James Smith-Williams: Face Mask (15 Yards), 14 yards (accepted) (no play)",3.850,4.710
2,3:24,1,10,WAS 13,7,3,Deon Jackson left end for -4 yards (tackle by Jonathan Allen),4.710,3.500
2,2:43,2,14,WAS 17,7,3,"Sam Ehlinger sacked by Jonathan Allen for -6 yards. Sam Ehlinger fumbles, recovered by Daron Payne at WAS-22",3.500,-0.410
2,2:35,1,10,WAS 22,7,3,Antonio Gibson left end for 5 yards (tackle by Julian Blackmon),0.410,0.540
2,2:00,2,5,WAS 27,7,3,J.D. McKissic up the middle for 4 yards (tackle by Grover Stewart),0.540,0.370
2,1:18,3,1,WAS 31,7,3,Brian Robinson up the middle for 2 yards (tackle by Grover Stewart and Kenny Moore),0.370,1.140
2,0:50,1,10,WAS 33,7,3,Taylor Heinicke pass complete short right to Dax Milne for 4 yards (tackle by Isaiah Rodgers and Zaire Franklin),1.140,1.130
2,0:44,,,,,,Timeout #1 by Washington Commanders,,
2,0:44,2,6,WAS 37,7,3,Taylor Heinicke scrambles up the middle for 5 yards (tackle by Kenny Moore),1.130,1.090
2,0:38,,,,,,Timeout #2 by Washington Commanders,,
2,0:38,3,1,WAS 42,7,3,Taylor Heinicke pass incomplete short middle intended for J.D. McKissic,1.090,-0.590
2,0:32,4,1,WAS 42,7,3,"Tress Way punts 44 yards, fair catch by Keke Coutee at IND-14",-0.590,0.280
2,0:25,1,10,IND 14,7,3,Sam Ehlinger kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,7,3,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,WAS 25,7,3,Taylor Heinicke pass complete short right to John Bates for 6 yards (tackle by Kenny Moore),0.610,0.870
3,14:20,2,4,WAS 31,7,3,Curtis Samuel right end for 11 yards (tackle by Isaiah Rodgers),0.870,1.730
3,13:43,1,10,WAS 42,7,3,Brian Robinson right tackle for no gain (tackle by Grover Stewart and Rodney McLeod),1.730,1.190
