Unnamed: 0,WAS,IND
First Downs,20,15
Rush-Yds-TDs,28-96-1,29-135-1
Cmp-Att-Yd-TD-INT,23-31-279-1-1,17-23-201-0-0
Sacked-Yards,2-13,2-12
Net Pass Yards,266,189
Total Yards,362,324
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,3-52,3-25
Third Down Conv.,2-12,5-12
Fourth Down Conv.,2-3,0-0
Time of Possession,30:40,29:20
