Unnamed: 0,KAN,CAR
First Downs,18,22
Rush-Yds-TDs,20-91-0,29-99-1
Cmp-Att-Yd-TD-INT,25-38-178-0-1,23-38-261-1-1
Sacked-Yards,3-13,2-19
Net Pass Yards,165,242
Total Yards,256,341
Fumbles-Lost,2-0,1-1
Turnovers,1,2
Penalties-Yards,9-45,6-53
Third Down Conv.,2-12,6-14
Fourth Down Conv.,1-1,1-1
Time of Possession,24:48,35:12
