Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 66 yards, returned by Fozzy Whittaker for 23 yards (tackle by D.J. Alexander)",0.000,-0.410
1,14:52,1,10,CAR 22,0,0,Jonathan Stewart right guard for 1 yard (tackle by Eric Berry and Ramik Wilson),0.410,0.000
1,14:13,2,9,CAR 23,0,0,Cam Newton pass complete short middle to Greg Olsen for 8 yards (tackle by Eric Berry),0.000,0.370
1,13:32,3,1,CAR 31,0,0,Cam Newton left end for 28 yards (tackle by Ron Parker),0.370,2.850
1,12:58,1,10,KAN 41,0,0,Cam Newton pass incomplete short right intended for Ted Ginn (defended by Dontari Poe),2.850,2.310
1,12:54,2,10,KAN 41,0,0,Cam Newton pass complete short right to Ted Ginn for 14 yards (tackle by Marcus Peters),2.310,3.780
1,12:24,1,10,KAN 27,0,0,Jonathan Stewart right guard for no gain (tackle by Frank Zombo and Dontari Poe),3.780,3.230
1,11:44,2,10,KAN 27,0,0,Cam Newton right guard for 3 yards (tackle by Marcus Peters),3.230,2.940
1,11:02,3,7,KAN 24,0,0,Cam Newton pass incomplete short right intended for Fozzy Whittaker,2.940,1.870
1,10:52,4,7,KAN 24,0,3,Graham Gano 42 yard field goal good,1.870,3.000
1,10:49,,,CAR 35,0,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,10:49,1,10,KAN 25,0,3,Alex Smith pass complete short left to Spencer Ware for 1 yard (tackle by Luke Kuechly),0.610,0.200
1,10:13,2,9,KAN 26,0,3,Alex Smith pass complete short right to Tyreek Hill for 10 yards (tackle by James Bradberry),0.200,1.330
1,9:46,1,10,KAN 36,0,3,Spencer Ware right tackle for 1 yard (tackle by Thomas Davis and Luke Kuechly),1.330,0.930
1,9:13,2,9,KAN 37,0,3,Spencer Ware left tackle for 12 yards (tackle by Kurt Coleman and Daryl Worley),0.930,2.190
1,9:13,1,10,KAN 49,0,3,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",2.190,1.860
1,8:14,1,15,KAN 44,0,3,Alex Smith pass incomplete short right intended for Demetrius Harris,1.860,0.970
1,8:10,2,15,KAN 44,0,3,Alex Smith left end for 6 yards (tackle by Charles Johnson),0.970,1.090
1,7:32,3,9,,0,3,Alex Smith pass incomplete deep middle intended for Tyreek Hill is intercepted by Tre Boston at CAR-7 and returned for 22 yards,1.090,-0.870
1,7:17,1,10,CAR 29,0,3,Ted Ginn left tackle for 1 yard (tackle by Eric Berry),0.870,0.460
1,6:41,2,9,CAR 30,0,3,Cam Newton pass incomplete deep left intended for Kelvin Benjamin,0.460,-0.230
1,6:36,3,9,CAR 30,0,3,Cam Newton pass complete short left to Greg Olsen for 8 yards (tackle by Eric Berry),-0.230,-0.850
1,5:51,4,1,CAR 38,0,3,"Andy Lee punts 43 yards, returned by Tyreek Hill for 6 yards (tackle by Robert McClain)",-0.850,-0.610
1,5:38,1,10,KAN 25,0,3,Alex Smith pass complete short left to Travis Kelce for 5 yards (tackle by Robert McClain),0.610,0.740
1,4:59,2,5,KAN 30,0,3,Charcandrick West middle for 2 yards (tackle by Kurt Coleman and Wes Horton),0.740,0.300
1,4:15,3,3,KAN 32,0,3,Alex Smith pass incomplete deep left intended for Albert Wilson,0.300,-1.240
1,4:09,4,3,KAN 32,0,3,"Dustin Colquitt punts 42 yards, out of bounds",-1.240,-0.670
1,4:00,1,10,CAR 26,0,3,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Eric Berry),0.670,0.130
1,3:54,2,10,CAR 26,0,3,Jonathan Stewart middle for no gain (tackle by Eric Berry),0.130,-0.560
1,3:15,3,10,CAR 26,0,3,"Cam Newton sacked by Dee Ford for -11 yards. Penalty on Phillip Gaines: Defensive Holding, 5 yards (no play)",-0.560,1.000
1,2:42,1,10,CAR 31,0,3,Cam Newton pass incomplete deep right intended for Ted Ginn (defended by Marcus Peters),1.000,0.460
1,2:35,2,10,CAR 31,0,3,Cam Newton pass complete short left to Ted Ginn for -1 yards (tackle by Steven Nelson),0.460,-0.360
1,1:50,3,11,CAR 30,0,3,Cam Newton pass incomplete short right intended for Devin Funchess (defended by Marcus Peters),-0.360,-1.370
1,1:43,4,11,CAR 30,0,3,"Graham Gano punts 42 yards, muffed catch by Tyreek Hill, recovered by Tyreek Hill and returned for no gain",-1.370,-0.740
1,1:31,1,10,KAN 27,0,3,Spencer Ware right end for 1 yard (tackle by James Bradberry),0.740,0.330
1,0:58,2,9,KAN 28,0,3,Spencer Ware left tackle for 3 yards (tackle by Luke Kuechly),0.330,0.040
1,0:16,3,6,KAN 31,0,3,Alex Smith pass complete short right to Spencer Ware for 5 yards (tackle by Luke Kuechly),0.040,-0.980
Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,KAN 36,0,3,"Dustin Colquitt punts 64 yards, touchback",-0.980,-0.280
2,14:49,1,10,CAR 20,0,3,Cam Newton right tackle for 9 yards (tackle by Phillip Gaines),0.280,0.950
2,14:15,2,1,CAR 29,0,3,Mike Tolbert right guard for no gain (tackle by Chris Jones),0.950,0.230
2,13:35,3,1,CAR 29,0,3,"Cam Newton pass incomplete short right intended for Kelvin Benjamin. Penalty on Marcus Peters: Defensive Holding, 5 yards (no play)",0.230,1.200
2,13:29,1,10,CAR 34,0,3,Jonathan Stewart left guard for 10 yards (tackle by Frank Zombo),1.200,1.860
2,12:59,1,10,CAR 44,0,3,Jonathan Stewart middle for 6 yards (tackle by Dontari Poe and Kendall Reyes),1.860,2.130
2,12:37,2,4,,0,3,Jonathan Stewart left guard for 5 yards (tackle by Derrick Johnson),2.130,2.590
2,12:15,1,10,KAN 45,0,3,Cam Newton middle for no gain (tackle by Derrick Johnson and Frank Zombo),2.590,2.040
2,11:36,2,10,KAN 45,0,3,Cam Newton pass complete short left to Kelvin Benjamin for 14 yards (tackle by Phillip Gaines),2.040,3.510
2,11:03,1,10,KAN 31,0,3,Cam Newton pass incomplete short right intended for Ted Ginn,3.510,2.970
2,10:58,2,10,KAN 31,0,3,"Cam Newton pass complete short left to Ted Ginn for 7 yards (tackle by Phillip Gaines). Penalty on Andrew Norwell: Offensive Holding, 10 yards (no play)",2.970,0.000
2,10:25,,,,0,3,Timeout #1 by Carolina Panthers,0.000,-1.620
2,10:25,2,20,KAN 41,0,3,Cam Newton pass complete short right to Ed Dickson for 26 yards (tackle by Ron Parker),1.620,4.580
2,9:47,1,10,KAN 15,0,3,Cam Newton pass complete short left to Kelvin Benjamin for 11 yards (tackle by Kenneth Acker),4.580,6.280
2,9:12,1,4,KAN 4,0,9,"Cam Newton middle for 4 yards, touchdown",6.280,7.000
2,9:05,,,KAN 15,0,10,Graham Gano kicks extra point good,0.000,0.000
2,9:05,,,CAR 35,0,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,9:05,1,10,KAN 25,0,10,Tyreek Hill right end for 12 yards (tackle by Thomas Davis),0.610,1.400
2,8:32,1,10,KAN 37,0,10,--,1.400,2.130
2,8:27,1,5,KAN 42,0,10,Alex Smith pass complete short right to Tyreek Hill for -1 yards (tackle by Robert McClain),2.130,1.400
