Quarter,Time,Tm,Detail,KAN,CAR
1.0,10:49,Panthers,Graham Gano 42 yard field goal,0,3
2.0,9:05,Panthers,Cam Newton 4 yard rush (Graham Gano kick),0,10
,1:52,Panthers,Devin Funchess 38 yard pass from Cam Newton (Graham Gano kick),0,17
,0:10,Chiefs,Cairo Santos 47 yard field goal,3,17
4.0,12:02,Chiefs,Cairo Santos 36 yard field goal,6,17
,10:32,Chiefs,Eric Berry 42 yard interception return (Travis Kelce pass from Alex Smith),14,17
,4:25,Chiefs,Cairo Santos 33 yard field goal,17,17
,0:00,Chiefs,Cairo Santos 37 yard field goal,20,17
