Unnamed: 0,HOU,IND
First Downs,18,25
Rush-Yds-TDs,23-59-0,33-196-1
Cmp-Att-Yd-TD-INT,24-40-311-3-2,23-35-209-2-2
Sacked-Yards,1-10,2-7
Net Pass Yards,301,202
Total Yards,360,398
Fumbles-Lost,2-1,4-1
Turnovers,3,3
Penalties-Yards,7-41,2-10
Third Down Conv.,5-14,4-13
Fourth Down Conv.,2-2,2-3
Time of Possession,26:07,33:53
