Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Davis Mills pass complete short right to Brandin Cooks for 33 yards (tackle by Julian Blackmon),0.610,2.790
1,14:26,1,10,IND 42,0,0,Dare Ogunbowale up the middle for 4 yards (tackle by Zaire Franklin),2.790,2.780
1,13:48,2,6,IND 38,0,0,Davis Mills pass complete short right to Jordan Akins for 15 yards (tackle by Julian Blackmon and Rodney McLeod),2.780,4.040
1,13:05,1,10,IND 23,0,0,Jeff Driskel left end for 1 yard (tackle by Brandon Facyson),4.040,3.630
1,12:35,2,9,IND 22,0,0,Davis Mills pass complete short middle to Teagan Quitoriano for 9 yards (tackle by Rodney McLeod),3.630,4.710
1,11:55,1,10,IND 13,0,0,Dare Ogunbowale right tackle for 2 yards (tackle by Bobby Okereke and Dallis Flowers),4.710,4.390
1,11:22,2,8,IND 11,6,0,"Davis Mills pass complete short middle to Brandin Cooks for 11 yards, touchdown",4.390,7.000
1,11:17,,,IND 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,11:17,,,HOU 35,7,0,"Ka'imi Fairbairn kicks off 72 yards, returned by Dallis Flowers for 25 yards. Dallis Flowers fumbles (forced by Neville Hewitt), recovered by M.J. Stewart at IND-18 (tackle by Neville Hewitt)",0.000,-4.370
1,11:11,1,10,IND 18,7,0,Davis Mills pass incomplete deep left intended for Jordan Akins,4.370,3.800
1,11:05,2,10,IND 18,7,0,Royce Freeman right end for -7 yards (tackle by Dayo Odeyingbo),3.800,2.210
1,10:22,3,17,IND 25,7,0,Davis Mills scrambles right end for 6 yards (tackle by Bobby Okereke),2.210,2.180
1,9:44,4,11,IND 19,10,0,Ka'imi Fairbairn 37 yard field goal good,2.180,3.000
1,9:40,,,HOU 35,10,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,9:40,1,10,IND 25,10,0,Sam Ehlinger pass complete short right to Alec Pierce for 13 yards (tackle by Jalen Pitre),0.610,1.470
1,9:04,1,10,IND 38,10,0,Zack Moss up the middle for 34 yards (tackle by Tremon Smith and Christian Harris),1.470,3.710
1,8:29,1,10,HOU 28,10,0,Zack Moss up the middle for 4 yards (tackle by Jonathan Owens),3.710,3.710
1,7:44,2,6,HOU 24,10,0,Sam Ehlinger pass incomplete deep left intended for Michael Pittman,3.710,3.010
1,7:40,3,6,HOU 24,10,0,"Sam Ehlinger pass incomplete intended for Alec Pierce. Penalty on Maliek Collins: Defensive Offside, 5 yards (accepted) (no play)",3.010,3.720
1,7:34,3,1,HOU 19,10,0,Deon Jackson right tackle for no gain (tackle by Kurt Hinish and Christian Harris),3.720,2.340
1,6:57,4,1,HOU 19,10,0,Sam Ehlinger scrambles right end for 5 yards (tackle by Jonathan Greenard and Jonathan Owens),2.340,4.650
1,6:18,1,10,HOU 14,10,0,"Sam Ehlinger aborted snap, recovered by Quenton Nelson at HOU-15 Quenton Nelson for no gain",4.650,3.720
1,5:37,2,12,HOU 16,10,0,Zack Moss left guard for 7 yards (tackle by Jalen Pitre and Jonathan Owens),3.720,4.050
1,4:52,3,5,HOU 9,10,0,Sam Ehlinger scrambles left tackle for 4 yards (tackle by Christian Harris),4.050,3.030
1,4:45,4,1,HOU 5,10,0,"Penalty on Tavierre Thomas: Unnecessary Roughness / Defense, 3 yards (accepted) (no play)",3.030,6.740
1,4:33,1,2,HOU 2,10,0,Zack Moss right guard for 1 yard (tackle by Jalen Pitre),6.740,5.910
1,3:59,2,1,HOU 1,10,6,"Sam Ehlinger pass complete short middle to Michael Pittman for 1 yard, touchdown",5.910,7.000
1,3:56,,,HOU 15,10,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,3:56,,,IND 35,10,7,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
1,3:56,1,10,HOU 25,10,7,Dare Ogunbowale up the middle for 2 yards (tackle by Rodney McLeod and Bobby Okereke),0.610,0.330
1,3:17,2,8,HOU 27,10,7,Davis Mills pass complete short right to Dare Ogunbowale for 2 yards (tackle by Bobby Okereke and Rodney McLeod),0.330,-0.100
1,2:32,3,6,HOU 29,10,7,Davis Mills pass complete deep left to Brandin Cooks for 23 yards (tackle by Julian Blackmon),-0.100,2.390
1,1:51,1,10,IND 48,10,7,Jeff Driskel pass complete short middle to Amari Rodgers for 3 yards. Amari Rodgers fumbles (forced by Zaire Franklin). Amari Rodgers fumbles out of bounds,2.390,2.250
1,1:09,2,7,IND 45,10,7,Davis Mills pass incomplete short right intended for Chris Moore,2.250,1.550
1,1:04,3,7,IND 45,10,7,Davis Mills pass incomplete short right intended for Rex Burkhead,1.550,0.270
1,0:58,4,7,IND 45,10,7,"Cameron Johnston punts 36 yards, fair catch by Keke Coutee at IND-9",0.270,0.380
1,0:52,1,10,IND 9,10,7,Zack Moss up the middle for 1 yard (tackle by Christian Harris),-0.380,-0.710
1,0:13,2,9,IND 10,10,7,Sam Ehlinger pass complete short right to Parris Campbell for 4 yards,-0.710,-0.840
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,IND 14,10,7,"Penalty on Alec Pierce: False Start, 5 yards (accepted) (no play)",-0.840,-1.420
2,15:00,3,10,IND 9,10,7,Sam Ehlinger sacked by Christian Harris for -7 yards,-1.420,-2.490
2,14:12,4,17,IND 2,10,7,"Matt Haack punts 60 yards, returned by Desmond King for 16 yards (tackle by Grant Stuard)",-2.490,-2.520
2,14:02,1,10,IND 46,10,7,Jeff Driskel up the middle for 7 yards (tackle by Zaire Franklin and E.J. Speed),2.520,2.920
2,13:24,2,3,IND 39,10,7,Royce Freeman up the middle for 5 yards (tackle by E.J. Speed),2.920,3.310
2,12:50,1,10,IND 34,10,7,Royce Freeman up the middle for 2 yards (tackle by Grover Stewart),3.310,3.040
2,12:12,2,8,IND 32,10,7,Davis Mills pass complete short left to Brandin Cooks for 9 yards (tackle by Dallis Flowers),3.040,4.040
2,11:30,1,10,IND 23,10,7,Royce Freeman up the middle for 2 yards (tackle by E.J. Speed and Dayo Odeyingbo),4.040,3.770
2,10:52,2,8,IND 21,10,7,"Royce Freeman left tackle for 7 yards. Royce Freeman fumbles (forced by E.J. Speed), recovered by Julian Blackmon at IND-8 and returned for 34 yards (tackle by Laremy Tunsil and Kenyon Green)",3.770,-1.730
2,10:41,1,10,IND 42,16,7,"Sam Ehlinger pass short middle intended for Deon Jackson is intercepted by Jonathan Greenard at IND-39 and returned for 39 yards, touchdown",1.730,-7.000
2,10:30,,,IND 15,17,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,10:30,,,HOU 35,17,7,"Ka'imi Fairbairn kicks off 66 yards, returned by Dallis Flowers for 23 yards (tackle by Tavierre Thomas)",0.000,0.410
2,10:23,1,10,IND 22,17,7,Deon Jackson right tackle for 7 yards (tackle by Jake Hansen),0.410,0.810
2,9:48,2,3,IND 29,17,7,Deon Jackson left tackle for 6 yards (tackle by M.J. Stewart),0.810,1.270
2,9:12,1,10,IND 35,17,7,Sam Ehlinger pass complete short right to Deon Jackson for 17 yards (tackle by Christian Kirksey),1.270,2.390
