Unnamed: 0,BUF,NYJ
First Downs,23,12
Rush-Yds-TDs,46-212-2,18-83-1
Cmp-Att-Yd-TD-INT,16-26-247-2-0,17-34-135-0-2
Sacked-Yards,1-8,3-19
Net Pass Yards,239,116
Total Yards,451,199
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,4-30,1-10
Third Down Conv.,8-16,1-12
Fourth Down Conv.,1-1,2-3
Time of Possession,39:22,20:38
