Unnamed: 0,CIN,PIT
First Downs,16,20
Rush-Yds-TDs,19-73-0,25-66-1
Cmp-Att-Yd-TD-INT,21-37-171-0-1,27-31-260-2-0
Sacked-Yards,8-69,0-0
Net Pass Yards,102,260
Total Yards,175,326
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,8-60,4-37
Third Down Conv.,4-14,3-9
Fourth Down Conv.,1-3,0-1
Time of Possession,30:14,29:46
