Quarter,Time,Tm,Detail,CHI,SFO
1.0,12:42,49ers,Michael Crabtree 3 yard pass from Colin Kaepernick (Phil Dawson kick),0,7
,2:48,49ers,Phil Dawson 27 yard field goal,0,10
2.0,2:22,49ers,Frank Gore 8 yard rush (Phil Dawson kick),0,17
,0:13,Bears,Brandon Marshall 17 yard pass from Jay Cutler (Robbie Gould kick),7,17
3.0,5:56,49ers,Phil Dawson 24 yard field goal,7,20
4.0,13:35,Bears,Brandon Marshall 5 yard pass from Jay Cutler (Robbie Gould kick),14,20
,13:14,Bears,Martellus Bennett 3 yard pass from Jay Cutler (Robbie Gould kick),21,20
,6:55,Bears,Brandon Marshall 3 yard pass from Jay Cutler (Robbie Gould kick),28,20
