Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Phil Dawson kicks off 72 yards, returned by Senorise Perry for 21 yards (tackle by Jimmie Ward). Penalty on Shaun Draughn: Offensive Holding, 7 yards",0.000,0.380
1,14:55,1,10,CHI 7,0,0,Matt Forte right tackle for -1 yards (tackle by Ian Williams),-0.380,-0.850
1,14:12,2,11,CHI 6,0,0,Matt Forte up the middle for 2 yards (tackle by Michael Wilhoite and Justin Smith),-0.850,-1.300
1,13:28,3,9,CHI 8,0,0,Jay Cutler pass incomplete short right intended for Matt Forte,-1.300,-2.490
1,13:23,4,9,CHI 8,0,0,"Pat O'Donnell punts, blocked by Aaron Lynch",-2.490,-5.370
1,13:16,1,8,CHI 8,0,0,Colin Kaepernick pass incomplete short right intended for Anquan Boldin,5.370,4.570
1,13:13,2,8,CHI 8,0,0,Colin Kaepernick left end for 5 yards,4.570,4.720
1,12:46,3,3,CHI 3,0,6,"Colin Kaepernick pass complete short right to Michael Crabtree for 3 yards, touchdown",4.720,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,12:46,,,CHI 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,12:46,,,SFO 35,0,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
1,12:42,1,10,CHI 20,0,7,Jay Cutler pass complete short middle to Martellus Bennett for 7 yards (tackle by Chris Culliver),0.280,0.680
1,12:10,2,3,CHI 27,0,7,Jay Cutler pass complete short right to Santonio Holmes for 5 yards (tackle by Perrish Cox),0.680,1.070
1,11:31,1,10,CHI 32,0,7,Jay Cutler pass incomplete short left intended for Brandon Marshall,1.070,0.530
1,11:28,2,10,CHI 32,0,7,Jay Cutler pass incomplete short left intended for Alshon Jeffery,0.530,-0.160
1,11:23,3,10,CHI 32,0,7,Jay Cutler pass complete short left to Martellus Bennett for 4 yards (tackle by Patrick Willis and Antoine Bethea),-0.160,-0.980
1,10:41,4,6,CHI 36,0,7,"Pat O'Donnell punts 50 yards, returned by Bruce Ellington for 5 yards (tackle by Sherrick McManis)",-0.980,-0.150
1,10:32,1,10,SFO 19,0,7,Frank Gore up the middle for 6 yards (tackle by Ryan Mundy),0.150,0.480
1,9:51,2,4,SFO 25,0,7,Colin Kaepernick pass complete deep right to Anquan Boldin for 21 yards (tackle by Ryan Mundy),0.480,1.990
1,9:11,1,10,SFO 46,0,7,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by Charles Tillman),1.990,1.450
1,9:07,2,10,SFO 46,0,7,Colin Kaepernick pass incomplete short right intended for Steve Johnson. Penalty on Steve Johnson: Offensive Pass Interference (Declined),1.450,0.760
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
1,9:04,3,10,SFO 46,0,7,"Colin Kaepernick left end for 10 yards (tackle by Tim Jennings). Penalty on Joe Staley: Offensive Holding, 10 yards (no play)",0.760,-0.560
1,8:40,3,20,SFO 36,0,7,"Penalty on Willie Young: Neutral Zone Infraction, 5 yards (no play)",-0.560,0.100
1,8:06,3,15,SFO 41,0,7,"Colin Kaepernick pass complete short left to Vernon Davis for 11 yards (tackle by Tim Jennings). Penalty on Kyle Fuller: Defensive Holding, 5 yards (no play)",0.100,1.990
1,7:36,1,10,SFO 46,0,7,Colin Kaepernick pass incomplete short left intended for Vance McDonald,1.990,1.450
1,7:31,2,10,SFO 46,0,7,Colin Kaepernick pass incomplete short middle intended for Anquan Boldin,1.450,0.760
1,7:25,3,10,SFO 46,0,7,Colin Kaepernick pass complete short middle to Vernon Davis for 14 yards (tackle by Jonathan Bostic and Tim Jennings),0.760,2.920
1,6:39,1,10,CHI 40,0,7,Frank Gore right tackle for 8 yards (tackle by Kyle Fuller),2.920,3.450
1,5:59,2,2,CHI 32,0,7,Colin Kaepernick left end for 1 yard (tackle by Sherrick McManis),3.450,2.870
1,5:25,3,1,CHI 31,0,7,Colin Kaepernick pass complete short right to Vernon Davis for 17 yards (tackle by Kyle Fuller). Penalty on Lamarr Houston: Defensive Holding (Declined),2.870,4.650
1,4:52,1,10,CHI 14,0,7,Carlos Hyde right guard for no gain (tackle by Jared Allen),4.650,4.000
1,4:08,2,10,CHI 14,0,7,Colin Kaepernick pass complete short right to Michael Crabtree for 5 yards (tackle by Kyle Fuller),4.000,4.050
1,3:24,3,5,CHI 9,0,7,"Penalty on Jonathan Martin: False Start, 5 yards (no play)",4.050,4.050
1,3:00,3,5,CHI 9,0,7,Timeout #1 by San Francisco 49ers,4.050,3.110
1,3:00,3,10,CHI 14,0,7,Colin Kaepernick pass complete short left to Carlos Hyde for 5 yards (tackle by Charles Tillman),3.110,2.880
1,2:53,4,5,CHI 9,0,10,Phil Dawson 27 yard field goal good,2.880,3.000
1,2:53,,,SFO 35,0,10,"Phil Dawson kicks off 65 yards, touchback. Penalty on L.J. McCray: Unnecessary Roughness, 15 yards",0.000,-1.270
1,2:48,1,10,CHI 35,0,10,Matt Forte right end for no gain (tackle by Patrick Willis),1.270,0.720
