Unnamed: 0,CHI,SFO
First Downs,19,19
Rush-Yds-TDs,17-46-0,27-127-1
Cmp-Att-Yd-TD-INT,23-34-176-4-0,21-34-248-1-3
Sacked-Yards,1-6,4-16
Net Pass Yards,170,232
Total Yards,216,359
Fumbles-Lost,1-0,2-1
Turnovers,0,4
Penalties-Yards,10-58,16-118
Third Down Conv.,3-9,7-13
Fourth Down Conv.,0-0,1-2
Time of Possession,26:09,33:51
