Unnamed: 0,GNB,MIN
First Downs,24,20
Rush-Yds-TDs,32-155-1,25-112-0
Cmp-Att-Yd-TD-INT,19-29-209-2-0,21-37-210-2-1
Sacked-Yards,1-2,2-14
Net Pass Yards,207,196
Total Yards,362,308
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-75,7-77
Third Down Conv.,6-11,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,31:45,28:15
