Unnamed: 0,CAR,WAS
First Downs,18,24
Rush-Yds-TDs,27-129-2,32-151-1
Cmp-Att-Yd-TD-INT,13-23-201-1-0,23-39-215-0-0
Sacked-Yards,0-0,4-29
Net Pass Yards,201,186
Total Yards,330,337
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-60,13-97
Third Down Conv.,5-11,3-15
Fourth Down Conv.,0-0,3-5
Time of Possession,24:40,35:20
