Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
1,6:58,1,10,CAR 29,0,0,Robert Griffin III right tackle for 8 yards (tackle by Josh Norman and Sione Fua),3.640,4.180
1,6:13,2,2,CAR 21,0,0,"Robert Griffin III pass complete short right to Darrel Young for 1 yard (tackle by Charles Godfrey). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",4.180,2.830
1,5:45,2,12,CAR 31,0,0,Evan Royster left guard for no gain (tackle by Sione Fua and Dwan Edwards),2.830,2.150
1,5:06,3,12,CAR 31,0,0,Robert Griffin III pass complete short right to Santana Moss for 2 yards (tackle by Greg Hardy and Dwan Edwards),2.150,1.500
1,4:26,4,10,CAR 29,0,3,Kai Forbath 47 yard field goal good,1.500,3.000
1,4:20,,,WAS 35,0,3,"Kai Forbath kicks off 61 yards, returned by Kealoha Pilares for 27 yards (tackle by Dejon Gomes)",0.000,1.000
1,4:14,1,10,CAR 31,0,3,Jonathan Stewart left tackle for 1 yard (tackle by Chris Baker and DeAngelo Hall),1.000,0.600
1,3:34,2,9,CAR 32,0,3,Cam Newton pass complete short middle to Steve Smith for 8 yards (tackle by Josh Wilson and Madieu Williams),0.600,0.960
1,2:49,3,1,CAR 40,0,3,Cam Newton left end for 3 yards (tackle by Reed Doughty and Perry Riley),0.960,1.800
1,2:05,1,10,CAR 43,0,3,Cam Newton pass incomplete short right intended for Greg Olsen,1.800,1.250
1,1:59,2,10,CAR 43,0,3,Jonathan Stewart right end for 17 yards (tackle by Reed Doughty and Madieu Williams),1.250,2.920
1,1:18,1,10,WAS 40,0,3,Cam Newton right end for 10 yards (tackle by Reed Doughty),2.920,3.580
1,0:33,1,10,WAS 30,6,3,"DeAngelo Williams right end for 30 yards, touchdown",3.580,7.000
1,0:33,,,WAS 2,7,3,Justin Medlock kicks extra point good,0.000,0.000
1,0:24,,,CAR 35,7,3,"Justin Medlock kicks off 65 yards, touchback",0.000,0.280
1,0:24,1,10,WAS 20,7,3,Alfred Morris left end for 4 yards (tackle by Luke Kuechly and Charles Johnson),0.280,0.270
Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,WAS 24,7,3,Alfred Morris left end for 9 yards (tackle by Colin Jones and Haruki Nakamura),0.270,1.140
2,14:20,1,10,WAS 33,7,3,Alfred Morris right end for 12 yards (tackle by Charles Godfrey and Josh Norman),1.140,1.930
2,13:35,1,10,WAS 45,7,3,"Penalty on Niles Paul: False Start, 5 yards (no play)",1.930,0.000
2,13:08,,,,7,3,Timeout #1 by Washington Redskins,0.000,1.600
2,13:08,1,15,WAS 40,7,3,"Robert Griffin III pass incomplete short middle intended for Josh Morgan (defended by Haruki Nakamura). Penalty on Haruki Nakamura: Personal Foul, 15 yards (no play)",1.600,2.590
2,13:03,1,10,CAR 45,7,3,Alfred Morris left end for 4 yards (tackle by Josh Norman and Dwan Edwards),2.590,2.580
2,12:25,2,6,CAR 41,7,3,Evan Royster left end for 1 yard (tackle by James Anderson and Ron Edwards),2.580,2.010
2,11:44,3,5,CAR 40,7,3,"Penalty on Logan Paulsen: False Start, 5 yards (no play)",2.010,1.360
2,11:20,3,10,CAR 45,7,3,Robert Griffin III left end for 7 yards (tackle by Greg Hardy and Josh Norman),1.360,0.000
2,10:54,,,,7,3,Timeout #1 by Carolina Panthers,0.000,0.720
2,10:54,4,3,CAR 38,7,3,Robert Griffin III pass complete short right to Josh Morgan for 6 yards (tackle by Captain Munnerlyn),0.720,3.450
2,10:13,1,10,CAR 32,7,3,Robert Griffin III pass complete short middle to Josh Morgan for 13 yards (tackle by Josh Norman),3.450,4.310
2,9:34,1,10,CAR 19,7,3,Robert Griffin III pass incomplete short right intended for Josh Morgan (defended by James Anderson),4.310,3.750
2,9:14,2,10,CAR 19,7,3,Alfred Morris left end for 2 yards (tackle by Thomas Davis and Luke Kuechly),3.750,3.260
