Unnamed: 0,CAR,JAX
First Downs,10,24
Rush-Yds-TDs,15-50-0,38-178-1
Cmp-Att-Yd-TD-INT,16-38-105-0-1,21-37-249-2-0
Sacked-Yards,1-6,0-0
Net Pass Yards,99,249
Total Yards,149,427
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,5-50,6-40
Third Down Conv.,2-12,9-17
Fourth Down Conv.,1-3,1-2
Time of Possession,21:02,38:58
