Unnamed: 0,CIN,PIT
First Downs,16,15
Rush-Yds-TDs,16-14-0,31-95-0
Cmp-Att-Yd-TD-INT,24-41-278-0-2,14-28-220-1-2
Sacked-Yards,6-25,4-35
Net Pass Yards,253,185
Total Yards,267,280
Fumbles-Lost,1-1,2-1
Turnovers,3,3
Penalties-Yards,7-55,5-63
Third Down Conv.,4-15,2-14
Fourth Down Conv.,0-1,1-1
Time of Possession,28:15,31:45
