Quarter,Time,Tm,Detail,CIN,PIT
1.0,2:15,Bengals,Leon Hall 17 yard interception return (Josh Brown kick),7,0
2.0,1:53,Bengals,Josh Brown 41 yard field goal,10,0
,1:09,Steelers,Antonio Brown 60 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,7
3.0,4:01,Steelers,Shaun Suisham 40 yard field goal,10,10
4.0,0:04,Bengals,Josh Brown 43 yard field goal,13,10
