Unnamed: 0,NWE,TEN
First Downs,11,20
Rush-Yds-TDs,13-56-1,48-238-2
Cmp-Att-Yd-TD-INT,15-31-137-0-1,11-24-136-0-1
Sacked-Yards,3-17,2-9
Net Pass Yards,120,127
Total Yards,176,365
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,2-15,9-80
Third Down Conv.,2-11,8-18
Fourth Down Conv.,0-2,2-3
Time of Possession,18:30,41:30
