Unnamed: 0,CLE,DEN
First Downs,21,22
Rush-Yds-TDs,28-134-0,20-32-1
Cmp-Att-Yd-TD-INT,18-31-188-2-1,31-48-257-0-2
Sacked-Yards,2-13,2-19
Net Pass Yards,175,238
Total Yards,309,270
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,6-75,8-51
Third Down Conv.,5-12,5-14
Fourth Down Conv.,1-2,1-2
Time of Possession,27:18,32:42
