Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Phillip Lindsay left guard for no gain (tackle by Myles Garrett),0.610,0.060
1,14:35,2,10,DEN 25,0,0,Case Keenum sacked by Jamie Collins for -8 yards,0.060,-1.930
1,13:59,3,18,DEN 17,0,0,Case Keenum pass complete short right to Phillip Lindsay for -5 yards (tackle by Joe Schobert),-1.930,-2.490
1,13:22,4,23,DEN 12,0,0,"Colby Wadman punts 40 yards, returned by Jabrill Peppers for 1 yard (tackle by Dymonte Thomas and Joseph Jones)",-2.490,-2.190
1,13:12,1,10,CLE 49,0,0,Baker Mayfield pass complete short left to Jarvis Landry for 19 yards (tackle by Darian Stewart),2.190,3.450
1,12:41,1,10,DEN 32,0,0,Nick Chubb up the middle for 1 yard (tackle by Domata Peko and Darian Stewart),3.450,3.040
1,12:03,2,9,DEN 31,0,0,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Bradley Roby),3.040,2.340
1,11:59,3,9,DEN 31,6,0,"Baker Mayfield pass complete deep right to Breshad Perriman for 31 yards, touchdown",2.340,7.000
1,11:49,,,DEN 15,7,0,Greg Joseph kicks extra point good,0.000,0.000
1,11:49,,,CLE 35,7,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,11:49,1,10,DEN 25,7,0,Phillip Lindsay right guard for 1 yard (tackle by Genard Avery),0.610,0.200
1,11:13,2,9,DEN 26,7,0,Case Keenum pass incomplete short right intended for Phillip Lindsay,0.200,-0.490
1,11:07,3,9,DEN 26,7,0,Case Keenum pass incomplete short middle intended for Phillip Lindsay,-0.490,-1.630
1,11:01,4,9,DEN 26,7,0,Colby Wadman punts 38 yards downed by Joseph Jones,-1.630,-1.330
1,10:51,1,10,CLE 36,7,0,Nick Chubb up the middle for 3 yards (tackle by Bradley Chubb),1.330,1.200
1,10:12,2,7,CLE 39,7,0,Baker Mayfield pass incomplete short right intended for Duke Johnson,1.200,0.500
1,10:08,3,7,CLE 39,7,0,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,0.500,-0.780
1,10:04,4,7,CLE 39,7,0,"Britton Colquitt punts 49 yards, fair catch by River Cracraft at DEN-12",-0.780,0.350
1,9:55,1,10,DEN 12,7,0,"Case Keenum pass incomplete short right intended for Matt LaCosse (defended by Jamie Collins). Penalty on Jared Veldheer: Unnecessary Roughness, 6 yards (no play)",-0.350,-0.610
1,9:51,1,16,DEN 6,7,0,Royce Freeman up the middle for -1 yards (tackle by Chris Smith and Trevon Coley),-0.610,-1.290
1,9:11,2,17,DEN 5,7,0,Case Keenum pass complete short right to Tim Patrick for 11 yards (tackle by Terrance Mitchell),-1.290,-0.950
1,8:36,3,6,DEN 16,7,0,Case Keenum pass complete short right to Tim Patrick for 15 yards,-0.950,1.000
1,8:15,1,10,DEN 31,7,0,Case Keenum pass incomplete short middle intended for DaeSean Hamilton (defended by Chris Smith),1.000,0.460
1,8:11,2,10,DEN 31,7,0,"Case Keenum pass complete short right to Courtland Sutton for 2 yards (tackle by Jamie Collins). Penalty on Jamie Collins: Lowering the Head to Initiate Contact, 15 yards",0.460,2.130
1,7:42,1,10,DEN 48,7,0,Case Keenum pass complete short right to Brian Parker for 7 yards (tackle by Jabrill Peppers),2.130,2.530
1,7:05,2,3,CLE 45,7,0,Phillip Lindsay left end for -7 yards (tackle by Jamie Collins),2.530,0.890
1,6:25,3,10,DEN 48,7,0,Case Keenum pass complete short right to Matt LaCosse for 11 yards (tackle by Genard Avery),0.890,2.850
1,5:47,1,10,CLE 41,7,0,Phillip Lindsay up the middle for 11 yards (tackle by Damarious Randall),2.850,3.580
1,5:25,1,10,CLE 30,7,0,Case Keenum pass complete short right to Phillip Lindsay for 2 yards (tackle by Jamie Collins),3.580,3.300
1,4:50,2,8,CLE 28,7,0,"Case Keenum pass incomplete deep right intended for Courtland Sutton (defended by Terrance Mitchell). Penalty on Terrance Mitchell: Defensive Pass Interference, 25 yards (no play)",3.300,6.510
1,4:44,1,3,CLE 3,7,0,Royce Freeman right tackle for no gain (tackle by Damarious Randall and Trevon Coley),6.510,5.530
1,4:07,2,3,CLE 3,7,0,Case Keenum pass complete short left to Devontae Booker for 2 yards (tackle by Jabrill Peppers),5.530,5.170
1,3:24,3,1,CLE 1,7,6,"Case Keenum right end for 1 yard, touchdown",5.170,7.000
1,3:18,,,CLE 15,7,7,Brandon McManus kicks extra point good,0.000,0.000
1,3:18,,,DEN 35,7,7,"Brandon McManus kicks off 68 yards, returned by Dontrell Hilliard for no gain (tackle by Andy Janovich)",0.000,0.810
1,3:12,1,10,CLE 28,7,7,Nick Chubb right tackle for 2 yards (tackle by Darian Stewart and Von Miller),0.810,0.530
1,2:31,2,8,CLE 30,7,7,Baker Mayfield up the middle for -5 yards (tackle by Todd Davis),0.530,-0.820
1,1:48,3,13,CLE 25,7,7,Baker Mayfield pass complete short right to David Njoku for 20 yards (tackle by Darian Stewart),-0.820,1.930
1,1:02,1,10,CLE 45,7,7,Nick Chubb right tackle for 5 yards (tackle by Zach Kerr and Todd Davis),1.930,2.060
1,0:19,2,5,CLE 50,7,7,Baker Mayfield pass incomplete deep left intended for David Njoku (defended by Will Parks),2.060,1.360
1,0:12,3,5,CLE 50,7,7,Baker Mayfield pass incomplete short right intended for Antonio Callaway,1.360,-0.060
1,0:07,4,5,CLE 50,7,7,"Britton Colquitt punts 37 yards, fair catch by River Cracraft at DEN-13",-0.060,0.320
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 13,7,7,Case Keenum pass complete short right to Courtland Sutton for 12 yards (tackle by Joe Schobert),-0.320,0.610
2,14:20,1,10,DEN 25,7,7,Phillip Lindsay up the middle for 2 yards (tackle by Larry Ogunjobi),0.610,0.330
2,13:43,2,8,DEN 27,7,7,Phillip Lindsay right tackle for 5 yards (tackle by Anthony Zettel),0.330,0.300
2,13:04,3,3,DEN 32,7,7,Case Keenum pass complete short right to Courtland Sutton for 6 yards (tackle by Briean Boddy-Calhoun),0.300,1.470
2,12:21,1,10,DEN 38,7,7,Case Keenum pass complete short right to Matt LaCosse for 10 yards (tackle by Derrick Kindred),1.470,2.130
2,11:45,1,10,DEN 48,7,7,Case Keenum pass complete short left to Brian Parker for 11 yards (tackle by Joe Schobert and Briean Boddy-Calhoun),2.130,2.850
2,11:03,1,10,CLE 41,7,7,Case Keenum pass complete short left to Courtland Sutton for 9 yards (tackle by T.J. Carrie),2.850,3.520
2,10:23,2,1,CLE 32,7,7,Case Keenum pass complete short right to Andre Holmes for 5 yards (tackle by Terrance Mitchell),3.520,3.780
2,9:47,1,10,CLE 27,7,7,Phillip Lindsay right tackle for -2 yards (tackle by Brian Price),3.780,2.960
2,9:11,2,12,CLE 29,7,7,Case Keenum pass complete short left to Tim Patrick for 3 yards (tackle by Genard Avery),2.960,2.680
2,8:26,3,9,CLE 26,7,7,Case Keenum pass incomplete short left intended for Devontae Booker,2.680,1.740
2,8:21,4,9,CLE 26,7,10,Brandon McManus 44 yard field goal good,1.740,3.000
2,8:16,,,DEN 35,7,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,8:16,1,10,CLE 25,7,10,"Baker Mayfield pass incomplete short right. Penalty on Domata Peko: Defensive Holding, 5 yards (no play)",0.610,0.940
2,8:11,1,10,CLE 30,7,10,Nick Chubb left tackle for 12 yards (tackle by Shelby Harris),0.940,1.730
2,7:34,1,10,CLE 42,7,10,Baker Mayfield pass complete short right to Rashard Higgins for 11 yards (tackle by Justin Simmons),1.730,2.460
2,6:57,1,10,DEN 47,7,10,Duke Johnson right guard for 15 yards (tackle by Dymonte Thomas and Darian Stewart),2.460,3.450
2,6:16,1,10,DEN 32,7,10,"Baker Mayfield pass incomplete short right intended for Darren Fells (defended by Todd Davis). Penalty on Todd Davis: Defensive Holding, 5 yards (no play)",3.450,3.780
2,6:10,1,10,DEN 27,7,10,Baker Mayfield pass incomplete short right intended for Jarvis Landry,3.780,3.230
2,6:04,2,10,DEN 27,7,10,Baker Mayfield pass incomplete deep right intended for Breshad Perriman (defended by Tramaine Brock),3.230,2.540
2,5:59,3,10,DEN 27,7,10,"Baker Mayfield sacked by Bradley Chubb for no gain. Penalty on Justin Simmons: Defensive Holding, 5 yards (no play)",2.540,4.110
2,5:51,1,10,DEN 22,7,10,Nick Chubb up the middle for no gain (tackle by Josey Jewell),4.110,3.560
2,5:07,2,10,DEN 22,7,10,Baker Mayfield pass incomplete deep left intended for David Njoku,3.560,2.870
2,5:02,3,10,DEN 22,7,10,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Zach Kerr),2.870,1.990
2,4:57,4,10,DEN 22,10,10,Greg Joseph 40 yard field goal good,1.990,3.000
2,4:53,,,CLE 35,10,10,"Greg Joseph kicks off 66 yards, returned by Devontae Booker for no gain (tackle by Ray-Ray Armstrong)",0.000,1.200
2,4:45,1,10,DEN 34,10,10,Case Keenum pass complete short middle to DaeSean Hamilton for 14 yards (tackle by Joe Schobert),1.200,2.130
2,4:07,1,10,DEN 48,10,10,Royce Freeman up the middle for 2 yards (tackle by Larry Ogunjobi and Joe Schobert),2.130,1.850
2,3:25,2,8,DEN 50,10,10,Case Keenum pass complete short left to Matt LaCosse for 8 yards (tackle by Jabrill Peppers),1.850,2.790
2,2:42,1,10,CLE 42,10,10,Case Keenum pass complete short left to Courtland Sutton for 13 yards (tackle by T.J. Carrie),2.790,3.640
2,2:03,1,10,CLE 29,10,10,Case Keenum pass incomplete short right intended for Tim Patrick,3.640,3.100
2,1:56,2,10,CLE 29,10,10,Case Keenum pass incomplete short right intended for Matt LaCosse (defended by Terrance Mitchell),3.100,2.410
2,1:50,3,10,CLE 29,10,10,Case Keenum pass deep left intended for Courtland Sutton is intercepted by Jabrill Peppers at CLE-0 and returned for no gain,2.410,-0.280
2,1:41,1,10,CLE 20,10,10,Duke Johnson up the middle for 1 yard (tackle by Derek Wolfe and Bradley Chubb),0.280,-0.130
2,1:38,,,,,,Timeout #1 by Denver Broncos,,
2,1:37,2,9,CLE 21,10,10,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Adam Gotsis),-0.130,-0.820
2,1:35,3,9,CLE 21,10,10,Baker Mayfield pass complete short left to Duke Johnson for 4 yards (tackle by Brandon Marshall),-0.820,-1.700
2,1:28,,,,,,Timeout #2 by Denver Broncos,,
2,1:26,4,5,CLE 25,10,10,"Britton Colquitt punts 52 yards, returned by River Cracraft for no gain (tackle by Tavierre Thomas). Penalty on Keishawn Bierria: Offensive Holding, 10 yards",-1.700,0.320
2,1:17,1,10,DEN 13,10,10,Case Keenum pass complete short left to DaeSean Hamilton for 4 yards,-0.320,-0.300
2,1:12,2,6,DEN 17,10,10,Case Keenum pass incomplete short right intended for Tim Patrick (defended by Terrance Mitchell),-0.300,-0.940
2,1:08,3,6,DEN 17,10,10,Case Keenum pass incomplete short right,-0.940,-2.320
2,1:01,4,6,DEN 17,10,10,"Colby Wadman punts 46 yards, returned by Jabrill Peppers for 8 yards (tackle by River Cracraft and Josey Jewell)",-2.320,-1.930
2,0:47,1,10,CLE 45,10,10,Duke Johnson left guard for 4 yards (tackle by Bradley Chubb),1.930,1.920
2,0:41,,,,,,Timeout #1 by Cleveland Browns,,
2,0:41,2,6,CLE 49,10,10,Baker Mayfield pass complete short right to Duke Johnson for 10 yards,1.920,2.850
2,0:34,1,10,DEN 41,10,10,Baker Mayfield pass complete short left to Antonio Callaway for 11 yards (tackle by Bradley Roby),2.850,3.580
2,0:26,,,,,,Timeout #2 by Cleveland Browns,,
2,0:26,1,10,DEN 30,10,10,Baker Mayfield pass deep right intended for Jarvis Landry is intercepted by Dymonte Thomas at DEN-2 and returned for no gain,3.580,0.380
2,0:18,1,10,DEN 2,10,10,Case Keenum kneels for no gain,-0.380,-0.780
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,10,10,"Brandon McManus kicks off 65 yards, returned by Jabrill Peppers for no gain (tackle by Joseph Jones)",0.000,-0.060
3,14:55,1,10,CLE 17,10,10,Nick Chubb right tackle for 4 yards (tackle by Adam Gotsis),-0.060,0.080
3,14:19,2,6,CLE 21,10,10,Nick Chubb right tackle for 4 yards (tackle by Adam Gotsis and Todd Davis),0.080,-0.240
3,13:39,3,2,CLE 25,10,10,Baker Mayfield pass complete short left to Duke Johnson for 5 yards (tackle by Bradley Roby and Justin Simmons),-0.240,0.940
