Quarter,Time,Tm,Detail,CLE,DEN
1.0,11:49,Browns,Breshad Perriman 31 yard pass from Baker Mayfield (Greg Joseph kick),7,0
,3:18,Broncos,Case Keenum 1 yard rush (Brandon McManus kick),7,7
2.0,8:16,Broncos,Brandon McManus 44 yard field goal,7,10
,4:53,Browns,Greg Joseph 40 yard field goal,10,10
3.0,1:41,Broncos,Brandon McManus 42 yard field goal,10,13
4.0,11:44,Browns,Antonio Callaway 2 yard pass from Baker Mayfield (Greg Joseph kick),17,13
,4:35,Broncos,Brandon McManus 29 yard field goal,17,16
