Unnamed: 0,OAK,CLE
First Downs,12,20
Rush-Yds-TDs,21-90-0,32-171-1
Cmp-Att-Yd-TD-INT,21-33-165-1-0,16-26-127-0-0
Sacked-Yards,1-1,2-14
Net Pass Yards,164,113
Total Yards,254,284
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,19-128,6-55
Third Down Conv.,3-12,6-13
Fourth Down Conv.,2-3,1-1
Time of Possession,28:22,31:38
