Quarter,Time,Tm,Detail,OAK,CLE
1,9:48,Raiders,Teyo Johnson 10 yard pass from Rich Gannon (Sebastian Janikowski kick),7,0
2,14:55,Browns,Phil Dawson 52 yard field goal,7,3
3,0:14,Browns,William Green 5 yard rush (Phil Dawson kick),7,10
4,2:29,Browns,Phil Dawson 32 yard field goal,7,13
