Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 61 yards, returned by Percy Harvin for 19 yards (tackle by Terence Garvin)",0.000,-0.480
1,14:56,1,10,NYJ 23,0,0,Percy Harvin left end for 13 yards (tackle by Arthur Moats and Michael Mitchell),0.480,1.330
1,14:19,1,10,NYJ 36,0,0,Michael Vick pass complete short left to Chris Johnson for 12 yards (tackle by Arthur Moats),1.330,2.130
1,13:43,1,10,NYJ 48,0,0,Chris Ivory right tackle for 6 yards (tackle by Will Allen and Lawrence Timmons),2.130,2.390
1,13:07,2,4,PIT 46,0,0,Michael Vick pass complete short left to Percy Harvin for 8 yards (tackle by Will Allen and William Gay),2.390,3.050
1,12:31,1,10,PIT 38,0,0,Chris Ivory up the middle for 8 yards (tackle by William Gay and Lawrence Timmons),3.050,3.590
1,11:50,2,2,PIT 30,0,0,Chris Ivory right tackle for 3 yards (tackle by James Harrison and Cameron Heyward),3.590,3.780
1,11:15,1,10,PIT 27,0,0,Chris Ivory left end for 8 yards (tackle by Michael Mitchell and James Harrison),3.780,4.350
1,10:45,2,2,PIT 19,0,0,"Penalty on Willie Colon: False Start, 5 yards (no play)",4.350,3.640
1,10:26,2,7,PIT 24,0,0,Chris Johnson right end for 4 yards (tackle by Arthur Moats),3.640,3.470
1,9:50,3,3,PIT 20,0,0,Michael Vick right end for 4 yards (tackle by Michael Mitchell),3.470,4.510
1,9:03,1,10,PIT 16,0,0,Chris Ivory left guard for 12 yards (tackle by William Gay and Vince Williams),4.510,6.280
1,8:25,1,4,PIT 4,0,0,Chris Ivory right guard for -1 yards (tackle by Will Allen and Cam Thomas),6.280,5.150
1,8:25,2,5,PIT 5,0,0,Michael Vick sacked by Brett Keisel for 0 yards,5.150,4.260
1,7:17,3,5,PIT 5,0,0,Michael Vick pass incomplete short left intended for Jeremy Kerley,4.260,3.010
1,7:11,4,5,PIT 5,0,3,Nick Folk 23 yard field goal good,3.010,3.000
1,7:11,,,NYJ 35,0,3,"Nick Folk kicks off 61 yards, returned by LeGarrette Blount for 15 yards (tackle by Antonio Allen). Penalty on Antonio Allen: Defensive Offside, 5 yards (no play)",0.000,0.000
1,7:11,,,NYJ 30,0,3,"Nick Folk kicks off 69 yards, returned by LeGarrette Blount for 21 yards (tackle by T.J. Graham)",0.000,-0.410
1,6:54,1,10,PIT 22,0,3,Le'Veon Bell left guard for 4 yards (tackle by Calvin Pace and Sheldon Richardson),0.410,0.410
1,6:13,2,6,PIT 26,0,3,Le'Veon Bell left end for 3 yards (tackle by Quinton Coples),0.410,0.100
1,5:31,3,3,PIT 29,0,3,Ben Roethlisberger pass complete short right to Antonio Brown for 10 yards (tackle by Phillip Adams),0.100,1.530
1,4:55,1,10,PIT 39,0,3,Ben Roethlisberger pass complete short right to Wesley Johnson for -5 yards (tackle by Calvin Pace),1.530,0.310
1,4:18,2,15,PIT 34,0,3,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell,0.310,0.310
1,4:13,2,15,PIT 34,0,3,Timeout #1 by Pittsburgh Steelers,0.310,-0.360
1,4:13,3,15,PIT 34,0,3,Ben Roethlisberger sacked by Jaiquawn Jarrett for -10 yards,-0.360,-1.770
1,3:40,4,25,PIT 24,0,3,"Brad Wing punts 46 yards, returned by Jeremy Kerley for 3 yards (tackle by Vince Williams)",-1.770,-1.140
1,3:30,1,10,NYJ 33,0,9,"Michael Vick pass complete deep right to T.J. Graham for 67 yards, touchdown",1.140,7.000
1,3:30,,,PIT 2,0,10,Nick Folk kicks extra point good,0.000,0.000
1,3:30,,,NYJ 35,0,10,"Nick Folk kicks off 67 yards, returned by Markus Wheaton for 23 yards (tackle by Calvin Pryor)",0.000,-0.340
1,3:15,1,10,PIT 21,0,10,"Ben Roethlisberger pass complete short right to Antonio Brown for no gain (tackle by Muhammad Wilkerson). Antonio Brown fumbles (forced by Muhammad Wilkerson), recovered by Jaiquawn Jarrett at PIT-22 and returned for 2 yards (tackle by Ramon Foster)",0.340,-4.240
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,3:08,1,10,PIT 20,0,10,Michael Vick sacked by Jason Worilds and Cam Thomas for -1 yards,4.240,3.560
1,2:31,2,11,PIT 21,0,10,Michael Vick right end for 18 yards (tackle by Lawrence Timmons),3.560,6.510
1,1:50,1,3,PIT 3,0,10,Percy Harvin left end for 1 yard (tackle by William Gay and Lawrence Timmons),6.510,5.720
1,1:09,2,2,PIT 2,0,10,Chris Ivory right guard for -3 yards (tackle by Cameron Heyward and Will Allen),5.720,5.720
1,0:25,2,2,PIT 2,0,10,Timeout #1 by New York Jets,5.720,4.260
1,0:25,3,5,PIT 5,0,16,"Michael Vick pass complete short right to Jace Amaro for 5 yards, touchdown",4.260,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,0:25,,,PIT 2,0,17,Nick Folk kicks extra point good,0.000,0.000
1,0:25,,,NYJ 35,0,17,"Nick Folk kicks off 69 yards, returned by Markus Wheaton for 34 yards (tackle by Saalim Hakim)",0.000,-0.940
1,0:13,1,10,PIT 30,0,17,Le'Veon Bell right guard for 3 yards (tackle by Muhammad Wilkerson and Damon Harrison),0.940,0.800
Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PIT 33,0,17,Ben Roethlisberger pass complete short left to Le'Veon Bell for 10 yards (tackle by Demario Davis and David Harris),0.800,1.800
2,14:19,1,10,PIT 43,0,17,Ben Roethlisberger pass complete short right to Le'Veon Bell for -1 yards (tackle by Sheldon Richardson),1.800,1.120
2,13:33,2,11,PIT 42,0,17,Le'Veon Bell right end for 6 yards (tackle by David Harris and Muhammad Wilkerson),1.120,1.220
2,12:45,3,5,PIT 48,0,17,"Penalty on Jason Babin: Unnecessary Roughness, 15 yards (no play)",1.220,3.120
2,12:26,1,10,NYJ 37,0,17,Ben Roethlisberger pass complete short left to Le'Veon Bell for 5 yards (tackle by Leger Douzable and Damon Harrison),3.120,3.250
2,11:46,2,5,NYJ 32,0,17,LeGarrette Blount left tackle for 4 yards (tackle by Jaiquawn Jarrett and Dawan Landry),3.250,3.070
2,11:09,3,1,NYJ 28,0,17,LeGarrette Blount up the middle for 3 yards (tackle by Jaiquawn Jarrett and Quinton Coples),3.070,3.910
2,10:23,1,10,NYJ 25,0,17,Ben Roethlisberger pass complete short right to Le'Veon Bell for -1 yards (tackle by Calvin Pace and Leger Douzable),3.910,3.230
2,9:38,2,11,NYJ 26,0,17,Le'Veon Bell left guard for 8 yards (tackle by Jaiquawn Jarrett),3.230,3.660
2,8:56,3,3,NYJ 18,0,17,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards (tackle by Kyle Wilson),3.660,4.780
2,8:19,1,10,NYJ 12,0,17,Le'Veon Bell right guard for 2 yards (tackle by David Harris),4.780,4.450
2,7:36,2,8,NYJ 10,0,17,Ben Roethlisberger pass incomplete is intercepted by Jaiquawn Jarrett at NYJ-2 and returned for 9 yards,4.450,0.370
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,7:25,1,10,NYJ 11,0,17,Chris Johnson right guard for 4 yards (tackle by Lawrence Timmons and Sean Spence),-0.370,-0.430
2,7:25,2,6,NYJ 15,0,17,Chris Johnson right end for 4 yards (tackle by Sean Spence),-0.430,-0.480
2,6:11,3,2,NYJ 19,0,17,Percy Harvin right end for 6 yards (tackle by Lawrence Timmons),-0.480,0.610
2,5:32,1,10,NYJ 25,0,17,Chris Johnson right end for 4 yards (tackle by Lawrence Timmons and Sean Spence),0.610,0.600
2,4:53,2,6,NYJ 29,0,17,Michael Vick pass incomplete short left intended for Percy Harvin,0.600,-0.100
2,4:48,3,6,NYJ 29,0,17,Michael Vick pass complete short left to Percy Harvin for 7 yards (tackle by Antwon Blake),-0.100,1.330
2,4:06,1,10,NYJ 36,0,17,Percy Harvin left tackle for 3 yards (tackle by Vince Williams and Stephon Tuitt),1.330,1.200
