Quarter,Time,Tm,Detail,PIT,NYJ
1.0,7:08,Jets,Nick Folk 23 yard field goal,0,3
,3:20,Jets,T.J. Graham 67 yard pass from Michael Vick (Nick Folk kick),0,10
,0:19,Jets,Jace Amaro 5 yard pass from Michael Vick (Nick Folk kick),0,17
2.0,0:00,Steelers,Shaun Suisham 53 yard field goal,3,17
3.0,4:34,Jets,Nick Folk 30 yard field goal,3,20
4.0,7:21,Steelers,Shaun Suisham 27 yard field goal,6,20
,1:16,Steelers,Martavis Bryant 80 yard pass from Ben Roethlisberger (Shaun Suisham kick),13,20
