Unnamed: 0,PIT,NYJ
First Downs,22,15
Rush-Yds-TDs,17-36-0,36-150-0
Cmp-Att-Yd-TD-INT,30-43-343-1-2,10-18-132-2-0
Sacked-Yards,2-17,4-7
Net Pass Yards,326,125
Total Yards,362,275
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,3-20,9-75
Third Down Conv.,6-11,6-15
Fourth Down Conv.,0-1,0-0
Time of Possession,29:27,30:33
