Quarter,Time,Tm,Detail,BAL,ARI
1.0,5:25,Ravens,Justin Tucker 44 yard field goal,3,0
,3:59,Cardinals,Chris Johnson 26 yard rush (Chandler Catanzaro kick),3,7
2.0,3:54,Ravens,Justin Forsett 14 yard rush (Justin Tucker kick),10,7
,1:01,Cardinals,Michael Floyd 3 yard pass from Carson Palmer (Chandler Catanzaro kick),10,14
3.0,9:47,Cardinals,Chandler Catanzaro 21 yard field goal,10,17
,2:27,Cardinals,Chandler Catanzaro 21 yard field goal,10,20
4.0,8:08,Cardinals,John Brown 4 yard pass from Carson Palmer (Chandler Catanzaro kick failed),10,26
,4:26,Ravens,Kyle Juszczyk 1 yard pass from Joe Flacco (Nick Boyle pass from Joe Flacco),18,26
