Unnamed: 0,BAL,ARI
First Downs,18,21
Rush-Yds-TDs,16-55-1,28-150-1
Cmp-Att-Yd-TD-INT,26-40-252-1-1,20-29-275-2-0
Sacked-Yards,3-31,2-11
Net Pass Yards,221,264
Total Yards,276,414
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,9-64,4-40
Third Down Conv.,5-13,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,30:24,29:36
