Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 73 yards, returned by Emmanuel Sanders for 25 yards (tackle by Donald Jones)",0.000,0.410
1,14:55,1,10,PIT 22,0,0,Rashard Mendenhall right guard for 10 yards (tackle by Leodis McKelvin and Jairus Byrd),0.410,1.070
1,14:15,1,10,PIT 32,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 6 yards (tackle by Akin Ayodele and Donte Whitner),1.070,1.340
1,13:35,2,4,PIT 38,0,0,Rashard Mendenhall right tackle for 5 yards (tackle by Chris Kelsay),1.340,1.800
1,12:54,1,10,PIT 43,0,0,Ben Roethlisberger pass complete short left to Heath Miller for 2 yards (tackle by Reggie Torbor),1.800,1.520
1,12:12,2,8,PIT 45,0,0,Ben Roethlisberger pass incomplete short middle intended for Hines Ward,1.520,0.830
1,12:04,3,8,PIT 45,0,0,Ben Roethlisberger pass complete deep middle to Hines Ward for 21 yards (tackle by Jairus Byrd),0.830,3.310
1,11:22,1,10,BUF 34,0,0,Rashard Mendenhall left guard for 5 yards (tackle by Torell Troup and Donte Whitner),3.310,3.450
1,10:38,2,5,BUF 29,0,0,"Antwaan Randle El pass incomplete short right intended for Hines Ward. Penalty on Antonio Coleman: Defensive Offside, 5 yards (no play)",3.450,3.970
1,10:32,1,10,BUF 24,0,0,Rashard Mendenhall left guard for 6 yards (tackle by Akin Ayodele and Paul Posluszny),3.970,4.290
1,9:54,2,4,BUF 18,0,0,Rashard Mendenhall right end for 3 yards (tackle by Donte Whitner and Reggie Torbor),4.290,4.170
1,9:11,3,1,BUF 15,0,0,Isaac Redman middle for 9 yards (tackle by Paul Posluszny and Reggie Torbor),4.170,5.830
1,8:29,1,6,BUF 6,0,0,Rashard Mendenhall middle for 2 yards (tackle by Kyle Williams and Akin Ayodele),5.830,5.340
1,7:51,2,4,BUF 4,0,0,Rashard Mendenhall middle for 3 yards (tackle by Marcus Stroud and Alex Carrington),5.340,5.170
1,7:09,3,1,BUF 1,6,0,"Rashard Mendenhall middle for 1 yard, touchdown",5.170,7.000
1,,,,BUF 2,7,0,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,PIT 30,7,0,"Shaun Suisham kicks off 47 yards, returned by Leodis McKelvin for 11 yards (tackle by Jason Worilds)",0.000,1.200
1,7:02,1,10,BUF 34,7,0,Ryan Fitzpatrick pass complete short middle to Donald Jones for 12 yards (tackle by James Farrior and Anthony Madison),1.200,1.990
1,6:23,1,10,BUF 46,7,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,1.990,1.450
1,6:19,2,10,BUF 46,7,0,Ryan Fitzpatrick pass incomplete short right intended for Donald Jones,1.450,0.760
1,6:15,3,10,BUF 46,7,0,Ryan Fitzpatrick pass incomplete deep left intended for Lee Evans,0.760,-0.320
1,6:09,4,10,BUF 46,7,0,"Brian Moorman punts 47 yards, returned by Antwaan Randle El for 15 yards (tackle by George Wilson)",-0.320,-0.410
1,5:57,1,10,PIT 22,7,0,Rashard Mendenhall right guard for 2 yards (tackle by Marcus Stroud and Reggie Torbor),0.410,0.140
1,5:20,2,8,PIT 24,7,0,Rashard Mendenhall left end for 3 yards (tackle by Reggie Torbor),0.140,-0.160
1,4:34,3,5,PIT 27,7,0,Ben Roethlisberger pass complete short left to Mewelde Moore for 7 yards (tackle by Jairus Byrd),-0.160,1.200
1,3:52,1,10,PIT 34,7,0,Ben Roethlisberger pass complete short middle to Hines Ward for 18 yards (tackle by Drayton Florence),1.200,2.390
1,3:22,1,10,BUF 48,7,0,Ben Roethlisberger pass incomplete deep left intended for Emmanuel Sanders,2.390,1.850
1,3:17,2,10,BUF 48,7,0,Ben Roethlisberger pass incomplete short right intended for Mike Wallace,1.850,1.160
1,3:12,3,10,BUF 48,7,0,Ben Roethlisberger pass complete short middle to Mewelde Moore for 11 yards (tackle by Donte Whitner),1.160,3.120
1,2:45,1,10,BUF 37,7,0,Rashard Mendenhall left guard for -2 yards (tackle by Torell Troup),3.120,2.300
1,2:06,2,12,BUF 39,7,0,Rashard Mendenhall right guard for 9 yards (tackle by Donte Whitner and Chris Kelsay),2.300,2.810
1,2:06,3,3,BUF 30,7,0,"Penalty on Jonathan Scott: False Start, 5 yards (no play)",2.810,2.150
1,0:53,3,8,BUF 35,7,0,Ben Roethlisberger pass complete short right to Heath Miller for 13 yards (tackle by Donte Whitner),2.150,4.110
1,0:20,1,10,BUF 22,7,0,Ben Roethlisberger pass incomplete deep right intended for Emmanuel Sanders,4.110,3.560
1,0:16,2,10,BUF 22,7,0,Rashard Mendenhall middle for -5 yards (tackle by Kyle Williams and Jairus Byrd),3.560,2.210
Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,BUF 27,7,0,Ben Roethlisberger pass incomplete deep right intended for Heath Miller (defended by Reggie Corner). Penalty on Ramon Foster: Ineligible Downfield Pas (Declined),2.210,1.670
2,14:49,4,15,BUF 27,10,0,Shaun Suisham 45 yard field goal good,1.670,3.000
2,,,,PIT 30,10,0,"Shaun Suisham kicks off 69 yards, returned by Leodis McKelvin for 38 yards (tackle by William Gay)",0.000,1.530
2,14:36,1,10,BUF 39,10,0,Fred Jackson middle for 2 yards (tackle by Troy Polamalu and LaMarr Woodley),1.530,1.260
2,13:59,2,8,BUF 41,10,0,Fred Jackson middle for -1 yards (tackle by William Gay),1.260,0.430
2,13:19,3,9,BUF 40,10,0,Ryan Fitzpatrick pass incomplete short right intended for Donald Jones,0.430,-0.720
2,13:12,4,9,BUF 40,10,0,Brian Moorman punts 37 yards,-0.720,-0.480
2,13:05,1,10,PIT 23,10,0,Rashard Mendenhall left end for no gain (tackle by Reggie Torbor and Akin Ayodele),0.480,-0.070
2,12:22,2,10,PIT 23,10,0,Ben Roethlisberger pass incomplete short left intended for Rashard Mendenhall,-0.070,-0.760
2,12:15,3,10,PIT 23,10,0,Ben Roethlisberger pass complete short right to Mike Wallace for 12 yards (tackle by Reggie Corner),-0.760,1.270
2,11:36,1,10,PIT 35,10,0,"Rashard Mendenhall left end for 4 yards (tackle by Donte Whitner and Reggie Torbor). Penalty on Ramon Foster: Offensive Holding, 10 yards (no play)",1.270,0.610
2,11:03,1,20,PIT 25,10,0,Ben Roethlisberger sacked by Alex Carrington for -1 yards,0.610,-0.760
2,10:25,2,21,PIT 24,10,0,"Ben Roethlisberger pass complete short right to Hines Ward for 11 yards (tackle by Reggie Torbor). Hines Ward fumbles (forced by Reggie Torbor), recovered by Reggie Corner at PIT-35. Penalty on Leodis McKelvin: Illegal Contact, 5 yards (no play)",-0.760,0.870
2,10:10,1,10,PIT 29,10,0,Rashard Mendenhall right guard for 7 yards (tackle by Donte Whitner),0.870,1.270
2,9:29,2,3,PIT 36,10,0,Rashard Mendenhall right tackle for 6 yards (tackle by Akin Ayodele and Chris Kelsay),1.270,1.730
2,8:47,1,10,PIT 42,10,0,Rashard Mendenhall middle for 5 yards (tackle by Marcus Stroud and Donte Whitner),1.730,1.860
2,8:04,2,5,PIT 47,10,0,Rashard Mendenhall left tackle for 5 yards (tackle by Chris Kelsay and Kyle Williams),1.860,2.390
2,7:17,,,,10,0,Timeout #1 by Pittsburgh Steelers,0.000,2.390
2,7:17,1,10,BUF 48,10,0,"Ben Roethlisberger pass complete deep right to Hines Ward for 27 yards (tackle by Donte Whitner). Penalty on Chris Kemoeatu: Offensive Holding, 10 yards (no play)",2.390,1.730
2,6:46,1,20,PIT 42,10,0,Ben Roethlisberger sacked by Kyle Williams for -1 yards,1.730,0.360
2,6:06,2,21,PIT 41,10,0,Ben Roethlisberger pass complete short left to Hines Ward for 12 yards (tackle by Paul Posluszny and Donte Whitner),0.360,1.290
2,5:25,3,9,BUF 47,10,0,Ben Roethlisberger sacked by Kyle Williams for -8 yards,1.290,-0.390
2,5:02,4,17,PIT 45,10,0,"Daniel Sepulveda punts 33 yards, fair catch by Leodis McKelvin",-0.390,-0.410
2,4:55,1,10,BUF 22,10,0,Ryan Fitzpatrick pass complete short left to Fred Jackson for 12 yards (tackle by Ryan Clark),0.410,1.200
2,4:30,1,10,BUF 34,10,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,1.200,0.660
2,4:26,2,10,BUF 34,10,0,Ryan Fitzpatrick pass complete short right to Steve Johnson for 14 yards (tackle by Bryant McFadden),0.660,2.130
2,3:46,1,10,BUF 48,10,0,Fred Jackson right tackle for 6 yards (tackle by Bryant McFadden),2.130,2.390
2,3:03,2,4,PIT 46,10,0,Ryan Fitzpatrick pass complete short left to David Nelson for 7 yards (tackle by Lawrence Timmons and LaMarr Woodley),2.390,2.980
2,2:22,1,10,PIT 39,10,0,Fred Jackson left guard for -1 yards (tackle by James Harrison and Lawrence Timmons),2.980,2.300
2,2:00,2,11,PIT 40,10,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,2.300,1.620
2,1:56,3,11,PIT 40,10,0,Ryan Fitzpatrick pass incomplete deep right intended for David Nelson,1.620,0.590
2,1:52,4,11,PIT 40,10,0,Brian Moorman punts 22 yards,0.590,-0.040
2,1:42,1,10,PIT 18,10,0,Mewelde Moore middle for 1 yard (tackle by Kyle Williams). Penalty on Chris Kemoeatu: Offensive Holding (Declined),0.040,-0.320
2,1:36,2,9,PIT 19,10,0,Ben Roethlisberger pass complete short middle to Hines Ward for 8 yards (tackle by Reggie Corner),-0.320,-0.020
2,1:14,3,1,PIT 27,10,0,Ben Roethlisberger pass complete short middle to Heath Miller for 5 yards (tackle by Reggie Corner),-0.020,1.070
2,0:53,1,10,PIT 32,10,0,Ben Roethlisberger pass complete deep middle to Hines Ward for 18 yards (tackle by Jairus Byrd),1.070,2.260
2,0:45,,,,10,0,Timeout #2 by Pittsburgh Steelers,0.000,2.260
2,0:45,1,10,,10,0,"Ben Roethlisberger pass incomplete deep left intended for Mike Wallace (defended by Drayton Florence). Penalty on Jonathan Scott: Offensive Holding, 10 yards (no play)",2.260,1.600
2,0:37,1,20,PIT 40,10,0,Ben Roethlisberger pass complete deep middle to Emmanuel Sanders for 16 yards (tackle by Jairus Byrd),1.600,2.520
2,0:28,,,,10,0,Timeout #3 by Pittsburgh Steelers,0.000,2.520
2,0:28,2,4,BUF 44,10,0,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 11 yards (tackle by Reggie Corner),2.520,3.380
2,0:15,1,10,BUF 33,10,0,Ben Roethlisberger spiked the ball,3.380,2.840
2,0:14,2,10,BUF 33,10,0,"Ben Roethlisberger pass incomplete deep right intended for Antwaan Randle El. Penalty on Drayton Florence: Illegal Contact, 5 yards (no play)",2.840,3.710
2,0:08,,,,10,0,Timeout #1 by Buffalo Bills,0.000,3.710
2,0:08,1,10,BUF 28,13,0,Shaun Suisham 46 yard field goal good,3.710,3.000
2,,,,PIT 30,13,0,"Shaun Suisham kicks off 46 yards, returned by Leodis McKelvin for 7 yards (tackle by Emmanuel Sanders)",0.000,0.940
Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,13,0,"Shaun Suisham kicks off 76 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,13,0,Fred Jackson left tackle for 7 yards (tackle by Lawrence Timmons and Ryan Clark),0.280,0.680
3,14:16,2,3,BUF 27,13,0,Fred Jackson right tackle for no gain (tackle by LaMarr Woodley),0.680,-0.030
3,13:34,3,3,BUF 27,13,0,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Anthony Madison),-0.030,1.270
3,12:52,1,10,BUF 35,13,0,Ryan Fitzpatrick pass complete short left to Quinton Ganther for 8 yards (tackle by Ike Taylor),1.270,1.800
3,12:07,2,2,BUF 43,13,0,Ryan Fitzpatrick pass complete short right to Fred Jackson for 4 yards (tackle by LaMarr Woodley),1.800,2.060
3,11:25,1,10,BUF 47,13,0,Ryan Fitzpatrick pass incomplete short middle intended for Lee Evans,2.060,1.520
3,11:20,2,10,BUF 47,13,0,Ryan Fitzpatrick sacked by James Harrison for -7 yards,1.520,-0.100
3,10:43,3,17,BUF 40,13,0,Ryan Fitzpatrick pass complete deep left to Steve Johnson for 18 yards (tackle by Troy Polamalu),-0.100,2.790
3,10:00,1,10,PIT 42,13,0,Fred Jackson right tackle for 9 yards (tackle by Ryan Clark),2.790,3.460
3,9:20,2,1,PIT 33,13,0,Quinton Ganther middle for 2 yards (tackle by James Farrior and Nick Eason),3.460,3.510
3,8:38,1,10,PIT 31,13,0,"Ryan Fitzpatrick pass complete short right to Lee Evans for 9 yards (tackle by James Harrison). Lee Evans fumbles (forced by James Harrison), recovered by Troy Polamalu at PIT-19 (tackle by Andy Levitre)",3.510,-0.150
3,8:29,1,10,PIT 19,13,0,Rashard Mendenhall middle for 11 yards (tackle by Donte Whitner),0.150,0.940
3,7:51,1,10,PIT 30,13,0,Rashard Mendenhall middle for 5 yards (tackle by Paul Posluszny and Donte Whitner),0.940,1.070
3,7:13,2,5,PIT 35,13,0,Ben Roethlisberger pass complete deep middle to Hines Ward for 24 yards (tackle by Jairus Byrd),1.070,2.850
3,6:29,1,10,BUF 41,13,0,Rashard Mendenhall middle for 2 yards (tackle by Akin Ayodele and Donte Whitner),2.850,2.580
3,5:46,2,8,BUF 39,13,0,Ben Roethlisberger pass complete short right to Mike Wallace for 4 yards (tackle by Donte Whitner),2.580,2.410
3,5:03,3,4,BUF 35,13,0,Ben Roethlisberger pass incomplete short middle intended for Mewelde Moore (defended by Paul Posluszny),2.410,0.980
3,5:00,4,4,BUF 35,13,0,"Ben Roethlisberger punts 35 yards, touchback",0.980,-0.280
3,4:54,1,10,BUF 20,13,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson (defended by William Gay),0.280,-0.270
