Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYJ 25,0,0,Bilal Powell left end for 12 yards (tackle by Deion Jones),0.610,1.400
1,14:38,1,10,NYJ 37,0,0,Matt Forte left guard for 2 yards (tackle by Deion Jones and Grady Jarrett),1.400,1.130
1,13:59,2,8,NYJ 39,0,0,Josh McCown pass complete short left to Matt Forte for 2 yards (tackle by Ricardo Allen),1.130,0.700
1,13:20,3,6,NYJ 41,0,0,Josh McCown pass complete short middle to Jeremy Kerley for 7 yards (tackle by Ricardo Allen),0.700,2.130
1,12:39,1,10,NYJ 48,0,0,Bilal Powell middle for 3 yards (tackle by Dontari Poe),2.130,1.990
1,12:04,2,7,ATL 49,0,0,Josh McCown pass complete short left to Jermaine Kearse for 7 yards (tackle by Deion Jones),1.990,2.790
1,11:21,1,10,ATL 42,0,0,Elijah McGuire left tackle for 2 yards (tackle by Kemal Ishmael and Derrick Shelby),2.790,2.510
1,10:44,2,8,ATL 40,0,0,"Josh McCown pass incomplete deep right intended for Robby Anderson. Penalty on Ricardo Allen: Defensive Pass Interference, 20 yards (no play)",2.510,4.240
1,10:38,1,10,ATL 20,0,6,"Josh McCown pass complete deep right to Eric Tomlinson for 20 yards, touchdown",4.240,7.000
1,10:33,,,ATL 15,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
1,10:33,,,NYJ 35,0,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,10:33,1,10,ATL 25,0,7,Devonta Freeman left tackle for 5 yards (tackle by Demario Davis),0.610,0.740
1,10:00,2,5,ATL 30,0,7,Matt Ryan pass incomplete short right intended for Levine Toilolo,0.740,0.040
1,9:54,3,5,ATL 30,0,7,"Matt Ryan pass incomplete short right intended for Taylor Gabriel. Penalty on Darryl Roberts: Defensive Holding, 5 yards (no play)",0.040,1.270
1,9:47,1,10,ATL 35,0,7,"Matt Ryan for no gain. Matt Ryan fumbles, recovered by Jordan Jenkins at ATL-34",1.270,-3.310
1,9:42,1,10,ATL 34,0,7,Josh McCown pass complete short left to Lawrence Thomas for 3 yards (tackle by Keanu Neal),3.310,3.180
1,9:05,2,7,ATL 31,0,7,Bilal Powell middle for 3 yards (tackle by Keanu Neal),3.180,2.870
1,8:24,3,4,ATL 28,0,7,Josh McCown pass incomplete short left intended for Jermaine Kearse (defended by Robert Alford),2.870,1.650
1,8:20,4,4,ATL 28,0,7,Chandler Catanzaro 46 yard field goal no good,1.650,-1.330
1,8:16,1,10,ATL 36,0,7,Matt Ryan pass complete short right to Levine Toilolo for 15 yards (tackle by Jordan Jenkins),1.330,2.320
1,7:42,1,10,NYJ 49,0,7,Tevin Coleman right tackle for 1 yard (tackle by Leonard Williams),2.320,1.920
1,7:07,2,9,NYJ 48,0,7,Tevin Coleman middle for 3 yards (tackle by Darron Lee),1.920,1.620
1,6:27,3,6,NYJ 45,0,7,Matt Ryan pass complete deep middle to Austin Hooper for 19 yards (tackle by Marcus Maye),1.620,3.840
1,5:53,1,10,NYJ 26,0,7,Devonta Freeman left guard for 4 yards (tackle by Jamal Adams),3.840,3.840
1,5:30,2,6,NYJ 22,0,7,Matt Ryan pass complete deep left to Austin Hooper for 21 yards (tackle by Marcus Maye),3.840,0.000
1,5:09,,,,,,Timeout #1 by New York Jets,0.000,-6.970
1,5:09,1,1,NYJ 1,6,7,"Matt Ryan pass complete short left to Austin Hooper for 1 yard, touchdown",6.970,7.000
1,5:03,,,NYJ 15,7,7,Matt Bryant kicks extra point good,0.000,0.000
1,5:03,,,ATL 35,7,7,"Matthew Bosher kicks off 61 yards, returned by Elijah McGuire for 24 yards (tackle by Derrick Coleman)",0.000,-0.810
1,4:58,1,10,NYJ 28,7,7,Bilal Powell left tackle for 1 yard (tackle by Ahtyba Rubin),0.810,0.400
1,4:25,2,9,NYJ 29,7,7,Bilal Powell left tackle for 3 yards (tackle by Derrick Shelby),0.400,0.100
1,3:40,3,6,NYJ 32,7,7,Josh McCown pass complete short right to Matt Forte for 10 yards (tackle by Keanu Neal),0.100,1.730
1,3:05,1,10,NYJ 42,7,7,Matt Forte left end for -1 yards (tackle by De'Vondre Campbell and Derrick Shelby),1.730,1.050
1,2:27,2,11,NYJ 41,7,7,Josh McCown pass complete short right to Jermaine Kearse for 7 yards (tackle by Deion Jones),1.050,1.290
1,1:51,3,4,NYJ 48,7,7,Josh McCown pass incomplete short right intended for Jeremy Kerley. Penalty on Brian Winters: Face Mask (15 Yards) (Declined),1.290,-0.190
1,1:47,4,4,NYJ 48,7,7,"Lac Edwards punts 44 yards, returned by Andre Roberts for -2 yards (tackle by Terrence Brooks)",-0.190,0.380
1,1:37,1,10,ATL 6,7,7,Devonta Freeman left end for 7 yards (tackle by Marcus Maye),-0.380,-0.270
1,0:55,2,3,ATL 13,7,7,Devonta Freeman left tackle for 5 yards (tackle by Darryl Roberts),-0.270,0.040
1,0:17,1,10,ATL 18,7,7,"Matt Ryan for no gain. Matt Ryan fumbles, recovered by Jamal Adams at ATL-20",0.040,-4.240
1,0:13,1,10,ATL 20,7,7,"Bilal Powell left end for 4 yards (tackle by Deion Jones). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",4.240,3.580
Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,20,ATL 30,7,7,Josh McCown pass incomplete short left intended for Jermaine Kearse,3.580,2.340
2,14:56,2,20,ATL 30,7,7,Josh McCown pass incomplete deep left intended for Matt Forte,2.340,1.680
2,14:51,3,20,ATL 30,7,7,Josh McCown pass complete short left to Bilal Powell for 5 yards (tackle by Keanu Neal),1.680,1.800
2,14:07,4,15,ATL 25,7,10,Chandler Catanzaro 43 yard field goal good,1.800,3.000
2,14:03,,,NYJ 35,7,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
2,14:03,1,10,ATL 25,7,10,Matt Ryan pass complete deep middle to Julio Jones for 16 yards (tackle by Jamal Adams),0.610,1.660
2,13:20,1,10,ATL 41,7,10,Tevin Coleman left tackle for 3 yards (tackle by Muhammad Wilkerson),1.660,1.530
2,12:48,2,7,ATL 44,7,10,Matt Ryan pass complete short left to Taylor Gabriel for -3 yards (tackle by Josh Martin). Penalty on Andy Levitre: Illegal Block Above the Waist (Declined),1.530,0.430
2,12:26,3,10,ATL 41,7,10,Matt Ryan pass complete short right to Mohamed Sanu for 16 yards (tackle by Terrence Brooks),0.430,2.720
2,11:51,1,10,NYJ 43,7,10,Tevin Coleman left end for no gain (tackle by Darron Lee),2.720,2.180
2,11:11,2,10,NYJ 43,7,10,Matt Ryan middle for 14 yards (tackle by Marcus Maye),2.180,3.640
2,10:24,1,10,NYJ 29,7,10,Devonta Freeman right tackle for no gain (tackle by Demario Davis),3.640,3.100
2,9:45,2,10,NYJ 29,7,10,Matt Ryan pass complete short left to Devonta Freeman for 20 yards (tackle by Robert Nelson),3.100,5.140
2,8:58,1,9,NYJ 9,7,10,Devonta Freeman middle for 4 yards (tackle by Demario Davis),5.140,5.150
2,8:18,2,5,NYJ 5,7,10,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Morris Claiborne),5.150,0.000
2,8:13,,,,,,Timeout #1 by Atlanta Falcons,0.000,-4.260
2,8:13,3,5,NYJ 5,7,10,Matt Ryan pass incomplete short right intended for Austin Hooper,4.260,3.010
2,8:09,4,5,NYJ 5,10,10,Matt Bryant 23 yard field goal good,3.010,3.000
2,8:06,,,ATL 35,10,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,8:06,1,10,NYJ 25,10,10,Josh McCown pass complete short right to Lawrence Thomas for 8 yards (tackle by Deion Jones),0.610,1.140
2,7:27,2,2,NYJ 33,10,10,Robby Anderson right end for 1 yard (tackle by Robert Alford),1.140,0.560
2,6:50,3,1,NYJ 34,10,10,Lawrence Thomas middle for no gain (tackle by Grady Jarrett),0.560,-1.110
2,6:15,4,1,NYJ 34,10,10,"Lac Edwards punts 52 yards, muffed catch by Andre Roberts, recovered by Andre Roberts and returned for no gain. Penalty on Brian Poole: Offensive Holding, 3 yards",-1.110,0.380
2,6:00,1,10,ATL 3,10,10,Tevin Coleman right guard for 3 yards (tackle by Kony Ealy),-0.380,-0.560
2,5:21,2,7,ATL 6,10,10,Matt Ryan pass incomplete short middle intended for Austin Hooper,-0.560,-1.070
2,5:17,3,7,ATL 6,10,10,Matt Ryan pass incomplete short right intended for Mohamed Sanu,-1.070,-2.490
2,5:13,4,7,ATL 6,10,10,"Matthew Bosher punts 43 yards, returned by Jeremy Kerley for 6 yards (tackle by C.J. Goodwin)",-2.490,-2.720
2,5:03,1,10,ATL 43,10,10,Bilal Powell left end for -1 yards (tackle by De'Vondre Campbell and Grady Jarrett),2.720,2.040
2,4:26,2,11,ATL 44,10,10,Josh McCown pass complete short left to Bilal Powell for 14 yards (tackle by Keanu Neal),2.040,3.580
2,3:55,1,10,ATL 30,10,10,Bilal Powell left tackle for -2 yards (tackle by Grady Jarrett),3.580,2.760
2,3:17,2,12,ATL 32,10,10,Josh McCown pass complete short right to Robby Anderson for 8 yards (tackle by Brian Poole),2.760,0.000
2,2:31,,,,,,Timeout #2 by New York Jets,0.000,-3.140
2,2:31,3,4,ATL 24,10,16,"Josh McCown pass complete deep right to Robby Anderson for 24 yards, touchdown",3.140,7.000
2,2:26,,,ATL 15,10,17,Chandler Catanzaro kicks extra point good,0.000,0.000
2,2:26,,,NYJ 35,10,17,"Chandler Catanzaro kicks off 61 yards, returned by Andre Roberts for 16 yards (tackle by Rontez Miles)",0.000,-0.280
2,2:22,1,10,ATL 20,10,17,Matt Ryan pass complete short right to Julio Jones for 5 yards (tackle by Jamal Adams),0.280,0.410
2,2:00,2,5,ATL 25,10,17,Devonta Freeman right guard for 4 yards (tackle by Leonard Williams),0.410,0.230
2,1:43,3,1,ATL 29,10,17,Matt Ryan middle for 2 yards (tackle by Leonard Williams),0.230,1.000
2,1:25,1,10,ATL 31,10,17,"Matt Ryan pass incomplete short right intended for Devonta Freeman. Penalty on Darryl Roberts: Unnecessary Roughness, 15 yards (no play)",1.000,1.990
2,1:21,1,10,ATL 46,10,17,Matt Ryan pass complete deep left to Mohamed Sanu for 23 yards (tackle by Demario Davis),1.990,3.510
2,0:53,1,10,NYJ 31,10,17,Matt Ryan pass complete short middle to Mohamed Sanu for 8 yards (tackle by Demario Davis),3.510,0.000
2,0:49,,,,,,Timeout #2 by Atlanta Falcons,0.000,-4.050
2,0:49,2,2,NYJ 23,10,17,Matt Ryan pass complete short right to Mohamed Sanu for 4 yards (tackle by Robert Nelson),4.050,4.310
2,0:28,1,10,NYJ 19,10,17,Matt Ryan pass incomplete deep left intended for Julio Jones,4.310,3.750
2,0:23,2,10,NYJ 19,10,17,Matt Ryan pass incomplete,3.750,3.030
2,0:17,3,10,NYJ 19,10,17,Matt Ryan sacked by Muhammad Wilkerson for -8 yards,3.030,0.000
2,0:03,,,,,,Timeout #3 by Atlanta Falcons,0.000,-1.670
2,0:03,4,18,NYJ 27,13,17,Matt Bryant 45 yard field goal good,1.670,3.000
Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,13,17,"Chandler Catanzaro kicks off 63 yards, returned by Andre Roberts for 26 yards (tackle by Julian Stanford)",0.000,-0.810
3,14:55,1,10,ATL 28,13,17,Devonta Freeman right tackle for no gain (tackle by Muhammad Wilkerson),0.810,0.260
3,14:14,2,10,ATL 28,13,17,Devonta Freeman middle for 3 yards (tackle by Demario Davis and Marcus Maye),0.260,-0.030
3,13:35,3,7,ATL 31,13,17,Matt Ryan pass complete short right to Austin Hooper for 6 yards (tackle by Darron Lee),-0.030,-0.910
3,12:55,4,1,ATL 37,13,17,"Matthew Bosher punts 29 yards, out of bounds",-0.910,-1.200
3,12:46,1,10,NYJ 34,13,17,Bilal Powell middle for 4 yards (tackle by Dontari Poe),1.200,1.200
3,12:08,2,6,NYJ 38,13,17,Matt Forte middle for 2 yards (tackle by Brian Poole),1.200,0.760
3,11:36,3,4,NYJ 40,13,17,Josh McCown pass complete short right to Austin Seferian-Jenkins for 3 yards (tackle by De'Vondre Campbell),0.760,-0.520
3,10:52,4,1,NYJ 43,13,17,Lac Edwards punts 56 yards,-0.520,0.380
3,10:38,1,10,ATL 1,13,17,Tevin Coleman right tackle for 3 yards (tackle by Steve McLendon),-0.380,-0.560
3,10:06,2,7,ATL 4,13,17,Tevin Coleman middle for -2 yards (tackle by Muhammad Wilkerson),-0.560,-1.300
3,9:23,3,9,ATL 2,13,17,Matt Ryan pass incomplete short right intended for Julio Jones,-1.300,-2.490
3,9:18,4,9,ATL 2,13,17,"Matthew Bosher punts 45 yards, fair catch by Jeremy Kerley",-2.490,-2.460
3,9:12,1,10,ATL 47,13,17,Matt Forte left guard for 4 yards (tackle by Ahtyba Rubin),2.460,0.000
3,8:34,,,,,,Timeout #1 by Atlanta Falcons,0.000,-2.450
3,8:34,2,6,ATL 43,13,17,Josh McCown sacked by Desmond Trufant for -7 yards. Penalty on Kelvin Beachum: Offensive Holding (Declined),2.450,0.830
3,8:14,3,13,,13,17,"Penalty on Wesley Johnson: False Start, 5 yards (no play)",0.830,0.170
3,7:53,3,18,NYJ 45,13,17,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 4 yards (tackle by Keanu Neal),0.170,-0.130
3,7:23,4,14,NYJ 49,13,17,"Lac Edwards punts 51 yards, touchback",-0.130,-0.280
3,7:16,1,10,ATL 20,13,17,Matt Ryan pass complete deep middle to Julio Jones for 53 yards (tackle by Darryl Roberts),0.280,3.780
3,6:41,1,10,NYJ 27,13,17,Devonta Freeman right tackle for 3 yards (tackle by Freddie Bishop and Darron Lee),3.780,3.640
3,6:06,2,7,NYJ 24,13,17,Matt Ryan pass complete short right to Levine Toilolo for 5 yards (tackle by Demario Davis),3.640,3.640
3,5:22,3,2,NYJ 19,13,17,Matt Ryan pass incomplete short left intended for Devonta Freeman,3.640,2.310
3,5:16,4,2,NYJ 19,16,17,Matt Bryant 37 yard field goal good,2.310,3.000
3,5:12,,,ATL 35,16,17,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,5:12,1,10,NYJ 25,16,17,Bilal Powell left tackle for 4 yards (tackle by Dontari Poe and Derrick Shelby),0.610,0.600
3,4:31,2,6,NYJ 29,16,17,"Josh McCown for no gain. Josh McCown fumbles, recovered by Josh McCown at NYJ-27",0.600,-0.360
3,3:52,3,8,NYJ 27,16,17,Josh McCown pass complete deep left to Robby Anderson for 32 yards (tackle by Robert Alford),-0.360,2.850
3,3:13,1,10,ATL 41,16,17,Bilal Powell middle for -1 yards (tackle by Deion Jones),2.850,2.170
3,2:37,2,11,ATL 42,16,17,Josh McCown pass complete short right to Robby Anderson for 7 yards (tackle by Robert Alford),2.170,2.410
3,2:02,3,4,ATL 35,16,17,Josh McCown pass complete short right to Matt Forte for 11 yards (tackle by Keanu Neal and Deion Jones),2.410,3.970
3,1:20,1,10,ATL 24,16,17,Bilal Powell right tackle for 2 yards (tackle by Deion Jones),3.970,3.700
3,0:42,2,8,ATL 22,16,17,Bilal Powell right tackle for -1 yards (tackle by Takkarist McKinley),3.700,2.870
Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,ATL 23,16,17,Josh McCown sacked by Grady Jarrett and Dontari Poe for -7 yards,2.870,1.410
4,14:21,4,16,ATL 30,16,17,Chandler Catanzaro 48 yard field goal no good,1.410,-1.470
4,14:17,1,10,ATL 38,16,17,Tevin Coleman right tackle for 52 yards (tackle by Darryl Roberts),1.470,4.910
4,13:45,1,10,NYJ 10,16,17,Tevin Coleman right tackle for 5 yards (tackle by Demario Davis),4.910,5.150
4,13:11,2,5,NYJ 5,16,17,"Matt Ryan for no gain. Matt Ryan fumbles, recovered by Matt Ryan at NYJ-8",5.150,3.580
4,12:31,3,8,NYJ 8,22,17,"Matt Ryan pass complete short left to Mohamed Sanu for 8 yards, touchdown",3.580,7.000
4,12:22,,,NYJ 2,22,17,Matt Ryan for no gain. Matt Ryan fumbles,0.000,0.000
4,12:22,,,ATL 35,22,17,"Matthew Bosher kicks off 64 yards, returned by Elijah McGuire for 19 yards (tackle by Derrick Coleman)",0.000,-0.280
4,12:16,1,10,NYJ 20,22,17,Josh McCown pass complete short right to Austin Seferian-Jenkins for 5 yards (tackle by Vic Beasley),0.280,0.410
4,11:40,2,5,NYJ 25,22,17,Bilal Powell left tackle for 6 yards (tackle by Keanu Neal),0.410,1.000
4,11:07,1,10,NYJ 31,22,17,"Josh McCown pass complete short left to Robby Anderson for 24 yards (tackle by Desmond Trufant). Penalty on Ahtyba Rubin: Roughing the Passer, 15 yards",1.000,3.580
4,10:43,1,10,ATL 30,22,17,Bilal Powell right tackle for no gain (tackle by Adrian Clayborn),3.580,3.030
4,10:09,2,10,ATL 30,22,17,Josh McCown sacked by Takkarist McKinley for -6 yards. Josh McCown fumbles (forced by Takkarist McKinley),3.030,1.420
4,9:18,3,17,ATL 37,22,17,Josh McCown pass complete short left to Bilal Powell for 9 yards (tackle by Deion Jones),1.420,1.590
4,8:46,4,8,ATL 28,22,20,Chandler Catanzaro 46 yard field goal good,1.590,3.000
4,8:42,,,NYJ 35,22,20,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
4,8:42,1,10,ATL 25,22,20,Devonta Freeman middle for 5 yards (tackle by Darron Lee),0.610,0.740
4,8:06,2,5,ATL 30,22,20,"Devonta Freeman left tackle for 2 yards (tackle by Muhammad Wilkerson). Penalty on Wes Schweitzer: Offensive Holding, 10 yards (no play)",0.740,-0.610
4,7:37,2,15,ATL 20,22,20,"Matt Ryan pass incomplete. Penalty on Matt Ryan: Intentional Grounding, 10 yards",-0.610,-3.180
4,7:28,3,25,ATL 10,22,20,Matt Ryan pass complete short left to Tevin Coleman for 22 yards (tackle by Robert Nelson),-3.180,-1.240
4,6:53,4,3,ATL 32,22,20,"Matthew Bosher punts 53 yards, muffed catch by Jeremy Kerley, recovered by Kemal Ishmael and returned for no gain",-1.240,4.710
4,6:42,1,10,NYJ 13,22,20,Devonta Freeman right guard for 1 yard (tackle by Kony Ealy),4.710,4.220
4,6:04,2,9,NYJ 12,22,20,Matt Ryan middle for 1 yard (tackle by Steve McLendon),4.220,3.450
4,5:28,3,8,NYJ 11,22,20,Matt Ryan pass incomplete short left intended for Devonta Freeman (defended by Darron Lee),3.450,2.700
4,5:22,4,8,NYJ 11,25,20,Matt Bryant 29 yard field goal good,2.700,3.000
4,5:19,,,ATL 35,25,20,"Matthew Bosher kicks off 63 yards, returned by Elijah McGuire for 24 yards (tackle by Derrick Coleman)",0.000,-0.670
4,5:14,1,10,NYJ 26,25,20,"Josh McCown pass incomplete deep right intended for Austin Seferian-Jenkins. Penalty on Austin Seferian-Jenkins: Offensive Pass Interference, 10 yards (no play)",0.670,-0.300
4,5:09,1,20,NYJ 16,25,20,Josh McCown pass complete short left to Robby Anderson for 9 yards,-0.300,-0.010
4,4:44,2,11,NYJ 25,25,20,Josh McCown pass complete short left to Matt Forte for 4 yards (tackle by Adrian Clayborn),-0.010,-0.160
4,4:01,3,7,NYJ 29,25,20,Josh McCown pass incomplete short left intended for Jeremy Kerley,-0.160,-1.440
