Quarter,Time,Tm,Detail,ATL,NYJ
1.0,10:33,Jets,Eric Tomlinson 20 yard pass from Josh McCown (Chandler Catanzaro kick),0,7
,5:03,Falcons,Austin Hooper 1 yard pass from Matt Ryan (Matt Bryant kick),7,7
2.0,14:03,Jets,Chandler Catanzaro 43 yard field goal,7,10
,8:06,Falcons,Matt Bryant 23 yard field goal,10,10
,2:26,Jets,Robbie Chosen 24 yard pass from Josh McCown (Chandler Catanzaro kick),10,17
,0:00,Falcons,Matt Bryant 45 yard field goal,13,17
3.0,5:12,Falcons,Matt Bryant 37 yard field goal,16,17
4.0,12:22,Falcons,Mohamed Sanu 8 yard pass from Matt Ryan (run failed),22,17
,8:42,Jets,Chandler Catanzaro 46 yard field goal,22,20
,5:19,Falcons,Matt Bryant 29 yard field goal,25,20
